year,film,wiki,winner,rating,numVotes
1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),False,4.9,2169.0
1947,Crossfire ,/wiki/Crossfire_(film),False,5.7,2340.0
1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),False,8.1,36741.0
1948,The Snake Pit,/wiki/The_Snake_Pit,False,7.6,8019.0
1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,8.2,127703.0
1948,Johnny Belinda ,/wiki/Johnny_Belinda_(1948_film),False,7.7,5064.0
1948,Hamlet ,/wiki/Hamlet_(1948_film),True,7.7,38945.0
1949,Battleground ,/wiki/Battleground_(film),False,7.4,7548.0
1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),True,6.1,25115.0
1949,The Heiress,/wiki/The_Heiress,False,8.1,16404.0
1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,False,7.7,15237.0
1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,False,7.7,10176.0
1950,All About Eve,/wiki/All_About_Eve,True,8.2,133678.0
1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),False,7.5,11779.0
1950,Father of the Bride ,/wiki/Father_of_the_Bride_(1950_film),False,6.5,80195.0
1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),False,5.2,14154.0
1951,A Place in the Sun ,/wiki/A_Place_in_the_Sun_(1951_film),False,7.7,23570.0
1951,Decision Before Dawn,/wiki/Decision_Before_Dawn,False,7.2,2824.0
1951,An American in Paris ,/wiki/An_American_in_Paris_(film),True,7.2,35210.0
1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),False,7.1,15868.0
1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),False,7.9,110938.0
1952,Ivanhoe ,/wiki/Ivanhoe_(1952_film),False,6.7,5233.0
1952,Moulin Rouge ,/wiki/Moulin_Rouge_(1952_film),False,7.6,290938.0
1952,The Quiet Man,/wiki/The_Quiet_Man,False,7.7,40321.0
1952,High Noon,/wiki/High_Noon,False,8.0,106601.0
1953,Julius Caesar ,/wiki/Julius_Caesar_(1953_film),False,7.2,12139.0
1953,The Robe ,/wiki/The_Robe_(film),False,6.7,11057.0
1953,Shane ,/wiki/Shane_(film),False,7.6,42337.0
1953,Roman Holiday,/wiki/Roman_Holiday,False,8.0,142075.0
1953,From Here to Eternity,/wiki/From_Here_to_Eternity,True,7.6,48692.0
1954,Seven Brides for Seven Brothers,/wiki/Seven_Brides_for_Seven_Brothers,False,7.3,25997.0
1954,The Caine Mutiny ,/wiki/The_Caine_Mutiny_(film),False,7.7,28651.0
1954,The Country Girl ,/wiki/The_Country_Girl_(1954_film),False,7.2,6315.0
1954,Three Coins in the Fountain ,/wiki/Three_Coins_in_the_Fountain_(film),False,6.2,3571.0
1954,On the Waterfront,/wiki/On_the_Waterfront,True,8.1,158120.0
1955,Love Is a Many-Splendored Thing ,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,6.4,5166.0
1955,Picnic ,/wiki/Picnic_(1955_film),False,7.0,9268.0
1955,Mister Roberts ,/wiki/Mister_Roberts_(1955_film),False,7.6,17541.0
1955,Marty ,/wiki/Marty_(film),True,7.7,25482.0
1955,The Rose Tattoo ,/wiki/The_Rose_Tattoo_(film),False,6.9,4275.0
1956,Giant ,/wiki/Giant_(1956_film),False,7.6,40537.0
1956,Friendly Persuasion ,/wiki/Friendly_Persuasion_(1956_film),False,7.3,7375.0
1956,Around the World in 80 Days ,/wiki/Around_the_World_in_80_Days_(1956_film),True,7.2,10809.0
1956,The Ten Commandments ,/wiki/The_Ten_Commandments_(1956_film),False,7.9,74236.0
1956,The King and I ,/wiki/The_King_and_I_(1956_film),False,7.4,27069.0
1957,12 Angry Men ,/wiki/12_Angry_Men_(1957_film),False,9.0,810542.0
1957,Peyton Place ,/wiki/Peyton_Place_(film),False,7.3,641.0
1957,Sayonara,/wiki/Sayonara,False,7.0,7148.0
1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,True,8.1,225058.0
1957,Witness for the Prosecution ,/wiki/Witness_for_the_Prosecution_(1957_film),False,8.4,129180.0
1958,Gigi ,/wiki/Gigi_(1958_film),True,6.6,23682.0
1958,Cat on a Hot Tin Roof ,/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,7.9,51321.0
1958,Separate Tables ,/wiki/Separate_Tables_(film),False,7.4,8172.0
1958,The Defiant Ones,/wiki/The_Defiant_Ones,False,7.6,16472.0
1958,Auntie Mame ,/wiki/Auntie_Mame_(film),False,7.9,11975.0
1959,Ben-Hur ,/wiki/Ben-Hur_(1959_film),True,8.1,244786.0
1959,Anatomy of a Murder,/wiki/Anatomy_of_a_Murder,False,8.0,68204.0
1959,The Nun's Story ,/wiki/The_Nun%27s_Story_(film),False,7.5,11179.0
1959,The Diary of Anne Frank ,/wiki/The_Diary_of_Anne_Frank_(1959_film),False,7.4,13207.0
1959,Room at the Top ,/wiki/Room_at_the_Top_(1959_film),False,7.5,6764.0
1960,The Apartment,/wiki/The_Apartment,True,8.3,185980.0
1960,The Alamo ,/wiki/The_Alamo_(1960_film),False,6.8,16655.0
1960,Sons and Lovers ,/wiki/Sons_and_Lovers_(film),False,7.1,1682.0
1960,The Sundowners ,/wiki/The_Sundowners_(1960_film),False,7.1,4534.0
1960,Elmer Gantry ,/wiki/Elmer_Gantry_(film),False,7.7,12179.0
1961,West Side Story ,/wiki/West_Side_Story_(1961_film),True,7.2,88103.0
1961,Fanny ,/wiki/Fanny_(1961_film),False,6.8,2476.0
1961,The Hustler,/wiki/The_Hustler,False,8.0,83970.0
1961,The Guns of Navarone ,/wiki/The_Guns_of_Navarone_(film),False,7.5,53091.0
1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,False,8.3,79629.0
1962,To Kill a Mockingbird ,/wiki/To_Kill_a_Mockingbird_(film),False,8.3,321747.0
1962,The Longest Day ,/wiki/The_Longest_Day_(film),False,7.7,57334.0
1962,Lawrence of Arabia ,/wiki/Lawrence_of_Arabia_(film),True,8.3,300510.0
1962,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1962_film),False,7.2,17072.0
1962,The Music Man ,/wiki/The_Music_Man_(1962_film),False,7.7,18321.0
1963,Tom Jones ,/wiki/Tom_Jones_(1963_film),True,4.8,412.0
1963,How the West Was Won ,/wiki/How_the_West_Was_Won_(film),False,7.0,22025.0
1963,Lilies of the Field ,/wiki/Lilies_of_the_Field_(1963_film),False,7.5,12527.0
1963,America America,/wiki/America_America,False,7.7,5743.0
1964,Mary Poppins ,/wiki/Mary_Poppins_(film),False,7.8,178103.0
1964,Dr. Strangelove,/wiki/Dr._Strangelove,False,7.2,32.0
1964,My Fair Lady ,/wiki/My_Fair_Lady_(film),True,7.8,98305.0
1964,Zorba the Greek ,/wiki/Zorba_the_Greek_(film),False,7.6,23260.0
1964,Becket ,/wiki/Becket_(1964_film),False,7.8,15266.0
1965,A Thousand Clowns,/wiki/A_Thousand_Clowns,False,7.3,3568.0
1965,The Sound of Music ,/wiki/The_Sound_of_Music_(film),True,8.1,244027.0
1965,Darling ,/wiki/Darling_(1965_film),False,6.2,113753.0
1965,Doctor Zhivago ,/wiki/Doctor_Zhivago_(film),False,7.9,79217.0
1965,Ship of Fools ,/wiki/Ship_of_Fools_(film),False,7.0,6517.0
1966,A Man for All Seasons ,/wiki/A_Man_for_All_Seasons_(1966_film),True,7.7,35822.0
1966,Alfie ,/wiki/Alfie_(1966_film),False,6.2,53899.0
1966,"The Russians Are Coming, the Russians Are Coming","/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,7.0,9316.0
1966,The Sand Pebbles ,/wiki/The_Sand_Pebbles_(film),False,7.5,15652.0
1966,Who's Afraid of Virginia Woolf? ,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,8.0,77348.0
1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,False,7.8,46782.0
1967,In the Heat of the Night ,/wiki/In_the_Heat_of_the_Night_(film),True,7.6,5649.0
1967,Bonnie and Clyde ,/wiki/Bonnie_and_Clyde_(film),False,7.7,116284.0
1967,The Graduate,/wiki/The_Graduate,False,8.0,279183.0
1967,Doctor Dolittle ,/wiki/Doctor_Dolittle_(1967_film),False,5.4,99350.0
1968,Oliver! ,/wiki/Oliver!_(film),True,7.4,39921.0
1968,Funny Girl ,/wiki/Funny_Girl_(film),False,7.3,23869.0
1968,The Lion in Winter ,/wiki/The_Lion_in_Winter_(1968_film),False,7.9,32541.0
1968,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1968_film),False,7.6,33417.0
1968,"Rachel, Rachel","/wiki/Rachel,_Rachel",False,7.1,3678.0
1969,"Hello, Dolly! ","/wiki/Hello,_Dolly!_(film)",False,7.0,16126.0
1969,Midnight Cowboy,/wiki/Midnight_Cowboy,True,7.8,114634.0
1969,Z ,/wiki/Z_(1969_film),False,8.2,29921.0
1969,Butch Cassidy and the Sundance Kid,/wiki/Butch_Cassidy_and_the_Sundance_Kid,False,8.0,220258.0
1969,Anne of the Thousand Days,/wiki/Anne_of_the_Thousand_Days,False,7.4,7796.0
1970,Five Easy Pieces,/wiki/Five_Easy_Pieces,False,7.4,38546.0
1970,Patton ,/wiki/Patton_(film),True,7.9,104860.0
1970,Airport ,/wiki/Airport_(1970_film),False,6.6,20129.0
1970,Love Story ,/wiki/Love_Story_(1970_film),False,6.9,35647.0
1970,M*A*S*H ,/wiki/M*A*S*H_(film),False,8.4,59843.0
1971,The Last Picture Show,/wiki/The_Last_Picture_Show,False,8.0,49803.0
1971,Nicholas and Alexandra,/wiki/Nicholas_and_Alexandra,False,7.2,5252.0
1971,The French Connection ,/wiki/The_French_Connection_(film),True,7.7,127344.0
1971,A Clockwork Orange ,/wiki/A_Clockwork_Orange_(film),False,8.3,846321.0
1971,Fiddler on the Roof ,/wiki/Fiddler_on_the_Roof_(film),False,8.0,45321.0
1972,The Godfather,/wiki/The_Godfather,True,9.2,1901221.0
1972,Cabaret ,/wiki/Cabaret_(1972_film),False,7.8,57026.0
1972,The Emigrants ,/wiki/The_Emigrants_(film),False,6.6,2037.0
1972,Sounder ,/wiki/Sounder_(film),False,7.5,4533.0
1972,Deliverance,/wiki/Deliverance,False,7.7,113602.0
1973,The Sting,/wiki/The_Sting,True,8.3,268838.0
1973,The Exorcist,/wiki/The_Exorcist,False,8.1,419343.0
1973,Cries and Whispers,/wiki/Cries_and_Whispers,False,8.0,156.0
1973,American Graffiti,/wiki/American_Graffiti,False,7.4,92993.0
