,film,rating,numVotes
252,The Green Mile ,8.6,1331825.0
253,The Insider ,7.8,174681.0
254,Gladiator ,8.5,1532742.0
255,Chocolat ,7.3,195845.0
256,Erin Brockovich ,7.4,206398.0
257,Traffic ,7.6,212423.0
258,A Beautiful Mind ,8.2,948735.0
259,Chicago ,8.0,59923.0
260,The Hours ,7.5,134755.0
261,The Pianist ,8.5,853771.0
262,Lost in Translation ,7.7,466486.0
263,Mystic River ,7.9,466921.0
264,Seabiscuit ,7.3,74983.0
265,The Aviator ,7.5,370586.0
266,Finding Neverland ,7.7,208829.0
267,Ray ,8.3,89664.0
268,Crash ,6.4,63233.0
269,Capote ,7.3,136266.0
270,"Good Night, and Good Luck",7.4,99444.0
271,Munich ,7.5,231817.0
272,Babel ,7.5,308766.0
273,The Queen ,8.6,487015.0
274,Atonement ,7.8,286842.0
275,Juno ,7.5,532244.0
276,Michael Clayton ,7.2,169507.0
277,The Curious Case of Benjamin Button ,7.8,666645.0
278,Frost/Nixon ,7.7,110097.0
279,Milk ,7.5,176098.0
280,The Reader ,7.6,251339.0
281,Avatar ,7.7,376925.0
282,The Blind Side ,7.6,343450.0
283,Precious ,7.3,113275.0
284,Up ,8.3,1066883.0
285,Up in the Air ,7.4,341623.0
286,Black Swan ,8.0,787178.0
287,The Kids Are All Right ,7.0,132207.0
288,True Grit ,7.6,346416.0
289,The Artist ,7.9,244636.0
290,Extremely Loud & Incredibly Close ,6.9,103510.0
291,The Help ,8.1,471448.0
292,Hugo ,7.5,328364.0
293,Moneyball ,7.6,438146.0
294,The Tree of Life ,6.8,180237.0
295,War Horse ,7.2,161086.0
296,Argo ,7.7,624042.0
297,Amour ,7.6,5848.0
298,Life of Pi ,7.9,644279.0
299,Lincoln ,7.3,265354.0
300,Les Misérables ,7.5,336057.0
301,12 Years a Slave ,8.1,714599.0
302,Captain Phillips ,7.8,472252.0
303,Gravity ,7.7,839661.0
304,Her ,8.0,634291.0
305,Nebraska ,7.7,120183.0
306,Philomena ,7.6,101853.0
307,The Wolf of Wall Street ,8.2,1458210.0
308,Birdman ,7.7,644522.0
309,Boyhood ,7.9,359742.0
310,Selma ,7.5,93187.0
311,The Theory of Everything ,7.7,462950.0
312,Whiplash ,8.5,900884.0
313,Spotlight ,8.1,481249.0
314,The Big Short ,7.8,445748.0
315,Bridge of Spies ,7.6,317865.0
316,Brooklyn ,8.4,331758.0
317,The Martian ,8.0,877293.0
318,The Revenant ,8.0,826071.0
319,Room ,8.1,430907.0
320,Moonlight ,7.4,317509.0
321,Arrival ,7.9,716903.0
322,Fences ,7.2,111985.0
323,Hell or High Water ,7.6,238437.0
324,Lion ,8.0,242287.0
325,Manchester by the Sea ,7.8,292956.0
326,Call Me by Your Name ,7.8,287315.0
327,Darkest Hour ,7.4,208954.0
328,Dunkirk ,7.8,680423.0
329,Lady Bird ,7.4,303288.0
330,The Post ,7.2,156014.0
331,Green Book ,8.2,516910.0
332,Black Panther ,6.7,264664.0
333,Bohemian Rhapsody ,7.9,554739.0
334,Roma ,7.7,163385.0
335,A Star Is Born ,7.6,396759.0
336,Vice ,7.2,153327.0
337,Parasite ,8.5,850243.0
338,Joker ,8.4,1348529.0
339,Little Women ,7.8,218233.0
340,1917 ,8.2,618335.0
341,Nomadland ,7.3,169978.0
342,The Father ,8.2,167233.0
343,Minari ,7.4,86740.0
344,CODA ,8.0,145243.0
345,Belfast ,7.3,80495.0
346,Drive My Car ,7.6,57108.0
347,Dune ,8.0,671939.0
348,King Richard ,7.5,121695.0
349,Nightmare Alley ,7.0,152429.0
350,The Power of the Dog ,6.8,182145.0
351,West Side Story ,7.2,88106.0
352,All Quiet on the Western Front ,8.1,65387.0
353,Elvis ,7.3,207142.0
354,Women Talking ,6.9,29341.0
