year,film,wiki,winner
1982,Tootsie,/wiki/Tootsie,True
1982,The Best Little Whorehouse in Texas ,/wiki/The_Best_Little_Whorehouse_in_Texas_(film),False
1982,Diner ,/wiki/Diner_(1982_film),False
1982,My Favorite Year,/wiki/My_Favorite_Year,False
1982,Victor Victoria,/wiki/Victor_Victoria,False
1983,Yentl ,/wiki/Yentl_(film),True
1983,The Big Chill ,/wiki/The_Big_Chill_(film),False
1983,Flashdance,/wiki/Flashdance,False
1983,Trading Places,/wiki/Trading_Places,False
1983,Zelig,/wiki/Zelig,False
1984,Romancing the Stone,/wiki/Romancing_the_Stone,True
1984,Beverly Hills Cop,/wiki/Beverly_Hills_Cop,False
1984,Ghostbusters,/wiki/Ghostbusters,False
1984,Micki + Maude,/wiki/Micki_%2B_Maude,False
1984,Splash ,/wiki/Splash_(film),False
1985,Prizzi's Honor,/wiki/Prizzi%27s_Honor,True
1985,Back to the Future,/wiki/Back_to_the_Future,False
1985,A Chorus Line ,/wiki/A_Chorus_Line_(film),False
1985,Cocoon ,/wiki/Cocoon_(film),False
1985,The Purple Rose of Cairo,/wiki/The_Purple_Rose_of_Cairo,False
1986,Hannah and Her Sisters,/wiki/Hannah_and_Her_Sisters,True
1986,Crimes of the Heart ,/wiki/Crimes_of_the_Heart_(film),False
1986,Crocodile Dundee,/wiki/Crocodile_Dundee,False
1986,Down and Out in Beverly Hills,/wiki/Down_and_Out_in_Beverly_Hills,False
1986,Little Shop of Horrors ,/wiki/Little_Shop_of_Horrors_(film),False
1986,Peggy Sue Got Married,/wiki/Peggy_Sue_Got_Married,False
1987,Hope and Glory ,/wiki/Hope_and_Glory_(film),True
1987,Baby Boom ,/wiki/Baby_Boom_(film),False
1987,Broadcast News ,/wiki/Broadcast_News_(film),False
1987,Dirty Dancing,/wiki/Dirty_Dancing,False
1987,Moonstruck,/wiki/Moonstruck,False
1988,Working Girl,/wiki/Working_Girl,True
1988,Big ,/wiki/Big_(film),False
1988,A Fish Called Wanda,/wiki/A_Fish_Called_Wanda,False
1988,Midnight Run,/wiki/Midnight_Run,False
1988,Who Framed Roger Rabbit,/wiki/Who_Framed_Roger_Rabbit,False
1989,Driving Miss Daisy,/wiki/Driving_Miss_Daisy,True
1989,The Little Mermaid ,/wiki/The_Little_Mermaid_(1989_film),False
1989,Shirley Valentine ,/wiki/Shirley_Valentine_(film),False
1989,The War of the Roses ,/wiki/The_War_of_the_Roses_(film),False
1989,When Harry Met Sally...,/wiki/When_Harry_Met_Sally...,False
1989,Dick Tracy ,/wiki/Dick_Tracy_(1990_film),False
1989,Ghost ,/wiki/Ghost_(1990_film),False
1989,Home Alone ,/wiki/Home_Alone_(film),False
1989,Pretty Woman,/wiki/Pretty_Woman,False
1991,Beauty and the Beast ,/wiki/Beauty_and_the_Beast_(1991_film),True
