year,film,wiki,winner
2001,Amélie,/wiki/Am%C3%A9lie,False
2001,A Beautiful Mind (film),/wiki/A_Beautiful_Mind_(film),False
2001,Moulin Rouge!,/wiki/Moulin_Rouge!,False
2001,Shrek,/wiki/Shrek,False
2002,The Pianist (2002 film),/wiki/The_Pianist_(2002_film),True
2002,Chicago (2002 film),/wiki/Chicago_(2002_film),False
2002,Gangs of New York,/wiki/Gangs_of_New_York,False
2002,The Hours (film),/wiki/The_Hours_(film),False
2002,The Lord of the Rings: The Two Towers,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,False
2003,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True
2003,Big Fish,/wiki/Big_Fish,False
2003,Cold Mountain (film),/wiki/Cold_Mountain_(film),False
2003,Lost in Translation (film),/wiki/Lost_in_Translation_(film),False
2003,Master and Commander: The Far Side of the World,/wiki/Master_and_Commander:_The_Far_Side_of_the_World,False
2004,The Aviator (2004 film),/wiki/The_Aviator_(2004_film),True
2004,Eternal Sunshine of the Spotless Mind,/wiki/Eternal_Sunshine_of_the_Spotless_Mind,False
2004,Finding Neverland (film),/wiki/Finding_Neverland_(film),False
2004,The Motorcycle Diaries (film),/wiki/The_Motorcycle_Diaries_(film),False
2004,Vera Drake,/wiki/Vera_Drake,False
2005,Brokeback Mountain,/wiki/Brokeback_Mountain,True
2005,Capote (film),/wiki/Capote_(film),False
2005,The Constant Gardener (film),/wiki/The_Constant_Gardener_(film),False
2005,Crash (2004 film),/wiki/Crash_(2004_film),False
2005,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",False
2006,The Queen (2006 film),/wiki/The_Queen_(2006_film),True
2006,Babel (film),/wiki/Babel_(film),False
2006,The Departed,/wiki/The_Departed,False
2006,The Last King of Scotland (film),/wiki/The_Last_King_of_Scotland_(film),False
2006,Little Miss Sunshine,/wiki/Little_Miss_Sunshine,False
2007,Atonement (2007 film),/wiki/Atonement_(2007_film),True
2007,American Gangster (film),/wiki/American_Gangster_(film),False
2007,The Lives of Others,/wiki/The_Lives_of_Others,False
2007,No Country for Old Men,/wiki/No_Country_for_Old_Men,False
