year,film,wiki,winner
1974,A Woman Under the Influence,/wiki/A_Woman_Under_the_Influence,False
1975,One Flew Over the Cuckoo's Nest ,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True
1975,Barry Lyndon,/wiki/Barry_Lyndon,False
1975,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,False
1975,Jaws ,/wiki/Jaws_(film),False
1975,Nashville ,/wiki/Nashville_(film),False
1976,Rocky,/wiki/Rocky,True
1976,All the President's Men ,/wiki/All_the_President%27s_Men_(film),False
1976,Bound for Glory ,/wiki/Bound_for_Glory_(1976_film),False
1976,Network ,/wiki/Network_(1976_film),False
1976,Voyage of the Damned,/wiki/Voyage_of_the_Damned,False
1977,The Turning Point ,/wiki/The_Turning_Point_(1977_film),True
1977,Close Encounters of the Third Kind,/wiki/Close_Encounters_of_the_Third_Kind,False
1977,I Never Promised You a Rose Garden ,/wiki/I_Never_Promised_You_a_Rose_Garden_(film),False
1977,Julia ,/wiki/Julia_(1977_film),False
1977,Star Wars ,/wiki/Star_Wars_(film),False
1978,Midnight Express ,/wiki/Midnight_Express_(film),True
1978,Coming Home ,/wiki/Coming_Home_(1978_film),False
1978,Days of Heaven,/wiki/Days_of_Heaven,False
1978,The Deer Hunter,/wiki/The_Deer_Hunter,False
1978,An Unmarried Woman,/wiki/An_Unmarried_Woman,False
1979,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,True
1979,Apocalypse Now,/wiki/Apocalypse_Now,False
1979,The China Syndrome,/wiki/The_China_Syndrome,False
1979,Manhattan ,/wiki/Manhattan_(1979_film),False
1979,Norma Rae,/wiki/Norma_Rae,False
1980,Ordinary People,/wiki/Ordinary_People,True
1980,The Elephant Man ,/wiki/The_Elephant_Man_(film),False
1980,The Ninth Configuration,/wiki/The_Ninth_Configuration,False
1980,Raging Bull,/wiki/Raging_Bull,False
1980,The Stunt Man,/wiki/The_Stunt_Man,False
1981,On Golden Pond ,/wiki/On_Golden_Pond_(1981_film),True
1981,The French Lieutenant's Woman ,/wiki/The_French_Lieutenant%27s_Woman_(film),False
1981,Prince of the City,/wiki/Prince_of_the_City,False
1981,Ragtime ,/wiki/Ragtime_(film),False
1981,Reds ,/wiki/Reds_(film),False
1982,E.T. the Extra-Terrestrial,/wiki/E.T._the_Extra-Terrestrial,True
1982,Missing ,/wiki/Missing_(1982_film),False
1982,An Officer and a Gentleman,/wiki/An_Officer_and_a_Gentleman,False
1982,Sophie's Choice ,/wiki/Sophie%27s_Choice_(film),False
1982,The Verdict,/wiki/The_Verdict,False
1983,Terms of Endearment,/wiki/Terms_of_Endearment,True
1983,"Reuben, Reuben","/wiki/Reuben,_Reuben",False
1983,The Right Stuff ,/wiki/The_Right_Stuff_(film),False
1983,Silkwood,/wiki/Silkwood,False
1983,Tender Mercies,/wiki/Tender_Mercies,False
1984,Amadeus ,/wiki/Amadeus_(film),True
1984,The Cotton Club ,/wiki/The_Cotton_Club_(film),False
1984,The Killing Fields ,/wiki/The_Killing_Fields_(film),False
1984,Places in the Heart,/wiki/Places_in_the_Heart,False
1984,A Soldier's Story,/wiki/A_Soldier%27s_Story,False
1985,Out of Africa ,/wiki/Out_of_Africa_(film),True
1985,The Color Purple ,/wiki/The_Color_Purple_(1985_film),False
1985,Kiss of the Spider Woman ,/wiki/Kiss_of_the_Spider_Woman_(film),False
1985,Runaway Train ,/wiki/Runaway_Train_(film),False
1985,Witness ,/wiki/Witness_(1985_film),False
1986,Platoon ,/wiki/Platoon_(film),True
1986,Children of a Lesser God ,/wiki/Children_of_a_Lesser_God_(film),False
1986,The Mission ,/wiki/The_Mission_(1986_film),False
1986,Mona Lisa ,/wiki/Mona_Lisa_(1986_film),False
1986,A Room with a View ,/wiki/A_Room_with_a_View_(1985_film),False
1986,Stand by Me ,/wiki/Stand_by_Me_(film),False
1987,The Last Emperor,/wiki/The_Last_Emperor,True
1987,Cry Freedom,/wiki/Cry_Freedom,False
1987,Empire of the Sun ,/wiki/Empire_of_the_Sun_(film),False
1987,Fatal Attraction,/wiki/Fatal_Attraction,False
1987,La Bamba ,/wiki/La_Bamba_(film),False
1987,Nuts ,/wiki/Nuts_(1987_film),False
1988,Rain Man,/wiki/Rain_Man,True
1988,The Accidental Tourist ,/wiki/The_Accidental_Tourist_(film),False
