year,film,wiki,nominations
1978,Death on the Nile,/wiki/Death_on_the_Nile_(1978_film),1
1943,December 7th,/wiki/December_7th:_The_Movie,1
1938,Declaration of Independence,/wiki/Declaration_of_Independence_(film),1
1993,Defending Our Lives,/wiki/Defending_Our_Lives,1
2008,Departures,/wiki/Departures_(2008_film),1
1942,Der Fuehrer's Face,/wiki/Der_Fuehrer%27s_Face,1
1975,Dersu Uzala,/wiki/Dersu_Uzala_(1975_film),1
1943,Desert Victory,/wiki/Desert_Victory,1
1947,Design for Death,/wiki/Design_for_Death,1
1957,Designing Woman,/wiki/Designing_Woman,1
1950,Destination Moon,/wiki/Destination_Moon_(film),2
1990,Dick Tracy,/wiki/Dick_Tracy_(1990_film),7
1987,Dirty Dancing,/wiki/Dirty_Dancing,1
1929  /  30,Disraeli,/wiki/Disraeli_(1929_film),3
1962,Divorce Italian Style,/wiki/Divorce_Italian_Style,3
2012,Django Unchained,/wiki/Django_Unchained,5
1967,Doctor Dolittle,/wiki/Doctor_Dolittle_(1967_film),9
1965,Doctor Zhivago,/wiki/Doctor_Zhivago_(film),10
1936,Dodsworth,/wiki/Dodsworth_(film),7
1975,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,6
1974,Don't,/wiki/Don%27t_(1974_film),1
1986,Down and Out in America,/wiki/Down_and_Out_in_America,1
1931  /  32,Dr. Jekyll and Mr. Hyde,/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film),3
2006,Dreamgirls,/wiki/Dreamgirls_(film),8
1989,Driving Miss Daisy,/wiki/Driving_Miss_Daisy,9
1941,Dumbo,/wiki/Dumbo,2
2021,Dune,/wiki/Dune_(2021_film),10
2017,Dunkirk,/wiki/Dunkirk_(2017_film),8
1962,Dylan Thomas,/wiki/Dylan_Thomas_(film),1
1982,E.T.: The Extra-Terrestrial,/wiki/E.T._the_Extra-Terrestrial,9
1974,Earthquake,/wiki/Earthquake_(1974_film),4
1955,East of Eden,/wiki/East_of_Eden_(film),4
1948,Easter Parade,/wiki/Easter_Parade_(film),1
1994,Ed Wood,/wiki/Ed_Wood_(film),2
1992,Educating Peter,/wiki/Educating_Peter,1
