year,film,wiki,nominations
1994,"The Adventures of Priscilla, Queen of the Desert","/wiki/The_Adventures_of_Priscilla,_Queen_of_the_Desert",1
1938,The Adventures of Robin Hood,/wiki/The_Adventures_of_Robin_Hood,4
1951,The African Queen,/wiki/The_African_Queen_(film),4
1993,The Age of Innocence,/wiki/The_Age_of_Innocence_(1993_film),5
1960,The Alamo,/wiki/The_Alamo_(1960_film),7
1953,The Alaskan Eskimo,/wiki/The_Alaskan_Eskimo,1
1967,The Anderson Platoon,/wiki/The_Anderson_Platoon,1
1960,The Apartment,/wiki/The_Apartment,10
1988,The Appointments of Dennis Jennings,/wiki/The_Appointments_of_Dennis_Jennings,1
2011,The Artist,/wiki/The_Artist_(film),10
1986,The Assault,/wiki/The_Assault_(1986_film),1
2004,The Aviator,/wiki/The_Aviator_(2004_film),11
1937,The Awful Truth,/wiki/The_Awful_Truth,6
1947,The Bachelor and the Bobby-Soxer,/wiki/The_Bachelor_and_the_Bobby-Soxer,1
1952,The Bad and the Beautiful,/wiki/The_Bad_and_the_Beautiful,6
2003,The Barbarian Invasions,/wiki/The_Barbarian_Invasions,2
1954,The Barefoot Contessa,/wiki/The_Barefoot_Contessa,2
1942,The Battle of Midway,/wiki/The_Battle_of_Midway_(film),1
1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,8
1956,The Bespoke Overcoat,/wiki/The_Bespoke_Overcoat,1
1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,8
1938,The Big Broadcast of 1938,/wiki/The_Big_Broadcast_of_1938,1
1958,The Big Country,/wiki/The_Big_Country,2
1929  /  30,The Big House,/wiki/The_Big_House_(1930_film),4
2015,The Big Short,/wiki/The_Big_Short_(film),5
1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,5
1979,The Black Stallion,/wiki/The_Black_Stallion_(film),2
1942,The Black Swan,/wiki/The_Black_Swan_(film),3
2009,The Blind Side,/wiki/The_Blind_Side_(film),2
2006,The Blood of Yingzhou District,/wiki/The_Blood_of_Yingzhou_District,1
1973,The Bolero,/wiki/The_Bolero,1
2007,The Bourne Ultimatum,/wiki/The_Bourne_Ultimatum_(film),3
1967,The Box,/wiki/The_Box_(1967_film),1
1956,The Brave One,/wiki/The_Brave_One_(1956_film),3
1928  /  29,The Bridge of San Luis Rey,/wiki/The_Bridge_of_San_Luis_Rey_(1929_film),1
1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,8
1955,The Bridges at Toko-Ri,/wiki/The_Bridges_at_Toko-Ri,2
1928  /  29,The Broadway Melody,/wiki/The_Broadway_Melody,3
1978,The Buddy Holly Story,/wiki/The_Buddy_Holly_Story,3
1972,The Candidate,/wiki/The_Candidate_(1972_film),2
1946,The Cat Concerto,/wiki/The_Cat_Concerto,1
1931  /  32,The Champ,/wiki/The_Champ_(1931_film),4
1936,The Charge of the Light Brigade,/wiki/The_Charge_of_the_Light_Brigade_(1936_film),3
1965,The Chicken,/wiki/The_Chicken_(film),1
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe",3
2002,The ChubbChubbs!,/wiki/The_ChubbChubbs!,1
1999,The Cider House Rules,/wiki/The_Cider_House_Rules_(film),7
1927  /  28,The Circus,/wiki/The_Circus_(1928_film),0
1986,The Color of Money,/wiki/The_Color_of_Money,4
2005,The Constant Gardener,/wiki/The_Constant_Gardener_(film),4
2007,The Counterfeiters,/wiki/The_Counterfeiters_(2007_film),1
1936,The Country Cousin,/wiki/The_Country_Cousin,1
1954,The Country Girl,/wiki/The_Country_Girl_(1954_film),7
2009,The Cove,/wiki/The_Cove_(film),1
1938,The Cowboy and the Lady,/wiki/The_Cowboy_and_the_Lady_(1938_film),3
1963,The Critic,/wiki/The_Critic_(1963_film),1
1971,The Crunch Bird,/wiki/The_Crunch_Bird,1
1992,The Crying Game,/wiki/The_Crying_Game,6
2008,The Curious Case of Benjamin Button,/wiki/The_Curious_Case_of_Benjamin_Button_(film),13
2015,The Danish Girl,/wiki/The_Danish_Girl_(film),4
2006,The Danish Poet,/wiki/The_Danish_Poet,1
1935,The Dark Angel,/wiki/The_Dark_Angel_(1935_film),3
2008,The Dark Knight,/wiki/The_Dark_Knight_(film),8
1930  /  31,The Dawn Patrol,/wiki/The_Dawn_Patrol_(1930_film),1
1978,The Deer Hunter,/wiki/The_Deer_Hunter,9
1958,The Defiant Ones,/wiki/The_Defiant_Ones,9
2006,The Departed,/wiki/The_Departed,5
2011,The Descendants,/wiki/The_Descendants,5
1959,The Diary of Anne Frank,/wiki/The_Diary_of_Anne_Frank_(1959_film),8
1967,The Dirty Dozen,/wiki/The_Dirty_Dozen,4
1972,The Discreet Charm of the Bourgeoisie,/wiki/The_Discreet_Charm_of_the_Bourgeoisie,2
1928  /  29,The Divine Lady,/wiki/The_Divine_Lady,3
1929  /  30,The Divorcee,/wiki/The_Divorcee,4
1980,The Dollar Bottom,/wiki/The_Dollar_Bottom,1
1965,The Dot and the Line,/wiki/The_Dot_and_the_Line,1
1927  /  28,The Dove,/wiki/The_Dove_(1927_film),1
2008,The Duchess,/wiki/The_Duchess_(film),2
1965,The Eleanor Roosevelt Story,/wiki/The_Eleanor_Roosevelt_Story,1
2022,The Elephant Whisperers,/wiki/The_Elephant_Whisperers,1
1980,The Empire Strikes Back,/wiki/The_Empire_Strikes_Back,3
1975,The End of the Game,/wiki/The_End_of_the_Game_(1975_film),1
1957,The Enemy Below,/wiki/The_Enemy_Below,1
1996,The English Patient,/wiki/The_English_Patient_(film),12
1973,The Exorcist,/wiki/The_Exorcist_(film),10
1955,The Face of Lincoln,/wiki/The_Face_of_Lincoln,2
1960,The Facts of Life,/wiki/The_Facts_of_Life_(film),5
2011,The Fantastic Flying Books of Mr. Morris Lessmore,/wiki/The_Fantastic_Flying_Books_of_Mr._Morris_Lessmore,1
1947,The Farmer's Daughter,/wiki/The_Farmer%27s_Daughter_(1947_film),2
2020  /  21,The Father,/wiki/The_Father_(2020_film),6
2018,The Favourite,/wiki/The_Favourite,10
2010,The Fighter,/wiki/The_Fighter,7
1944,The Fighting Lady,/wiki/The_Fighting_Lady,1
1991,The Fisher King,/wiki/The_Fisher_King,5
1978,The Flight of the Gossamer Condor,/wiki/The_Flight_of_the_Gossamer_Condor,1
1986,The Fly,/wiki/The_Fly_(1986_film),1
2003,The Fog of War,/wiki/The_Fog_of_War,1
1966,The Fortune Cookie,/wiki/The_Fortune_Cookie,4
1971,The French Connection,/wiki/The_French_Connection_(film),8
1993,The Fugitive,/wiki/The_Fugitive_(1993_film),7
1997,The Full Monty,/wiki/The_Full_Monty,4
1936,The Garden of Allah,/wiki/The_Garden_of_Allah_(1936_film),2
1971,The Garden of the Finzi-Continis,/wiki/The_Garden_of_the_Finzi-Continis_(film),2
1934,The Gay Divorcee,/wiki/The_Gay_Divorcee,5
1996,The Ghost and the Darkness,/wiki/The_Ghost_and_the_Darkness,1
2011,The Girl with the Dragon Tattoo,/wiki/The_Girl_with_the_Dragon_Tattoo_(2011_film),5
1954,The Glenn Miller Story,/wiki/The_Glenn_Miller_Story,3
1972,The Godfather,/wiki/The_Godfather,10
1974,The Godfather: Part II,/wiki/The_Godfather:_Part_II,11
2007,The Golden Compass,/wiki/The_Golden_Compass_(film),2
1959,The Golden Fish,/wiki/The_Golden_Fish_(film),1
1937,The Good Earth,/wiki/The_Good_Earth_(film),5
1977,The Goodbye Girl,/wiki/The_Goodbye_Girl,5
1967,The Graduate,/wiki/The_Graduate,7
2014,The Grand Budapest Hotel,/wiki/The_Grand_Budapest_Hotel,9
1940,The Grapes of Wrath,/wiki/The_Grapes_of_Wrath_(film),7
1973,The Great American Cowboy,/wiki/The_Great_American_Cowboy,1
2013,The Great Beauty,/wiki/The_Great_Beauty,1
1951,The Great Caruso,/wiki/The_Great_Caruso,3
2013,The Great Gatsby,/wiki/The_Great_Gatsby_(2013_film),2
1941,The Great Lie,/wiki/The_Great_Lie,1
1940,The Great McGinty,/wiki/The_Great_McGinty,1
1965,The Great Race,/wiki/The_Great_Race,5
1938,The Great Waltz,/wiki/The_Great_Waltz_(1938_film),3
1936,The Great Ziegfeld,/wiki/The_Great_Ziegfeld,7
1952,The Greatest Show on Earth,/wiki/The_Greatest_Show_on_Earth_(film),5
1961,The Guns of Navarone,/wiki/The_Guns_of_Navarone_(film),7
1946,The Harvey Girls,/wiki/The_Harvey_Girls,2
2015,The Hateful Eight,/wiki/The_Hateful_Eight,3
1949,The Heiress,/wiki/The_Heiress,8
1971,The Hellstrom Chronicle,/wiki/The_Hellstrom_Chronicle,1
2011,The Help,/wiki/The_Help_(film),4
1954,The High and the Mighty,/wiki/The_High_and_the_Mighty_(film),6
1975,The Hindenburg,/wiki/The_Hindenburg_(film),3
1962,The Hole,/wiki/The_Hole_(1962_film),1
1960,The Horse with the Flying Tail,/wiki/The_Horse_with_the_Flying_Tail,1
1971,The Hospital,/wiki/The_Hospital,2
2002,The Hours,/wiki/The_Hours_(film),9
1945,The House I Live In,/wiki/The_House_I_Live_In_(1945_film),0
1945,The House on 92nd Street,/wiki/The_House_on_92nd_Street,1
1943,The Human Comedy,/wiki/The_Human_Comedy_(film),5
1990,The Hunt for Red October,/wiki/The_Hunt_for_Red_October_(film),3
1937,The Hurricane,/wiki/The_Hurricane_(1937_film),3
2009,The Hurt Locker,/wiki/The_Hurt_Locker,9
1961,The Hustler,/wiki/The_Hustler_(film),9
2014,The Imitation Game,/wiki/The_Imitation_Game,8
2004,The Incredibles,/wiki/The_Incredibles,4
1935,The Informer,/wiki/The_Informer_(1935_film),6
1942,The Invaders,/wiki/49th_Parallel_(film),3
2011,The Iron Lady,/wiki/The_Iron_Lady_(film),2
1927  /  28,The Jazz Singer,/wiki/The_Jazz_Singer,1
1989,The Johnstown Flood,/wiki/The_Johnstown_Flood_(1989_film),1
1957,The Joker Is Wild,/wiki/The_Joker_Is_Wild,1
1946,The Jolson Story,/wiki/The_Jolson_Story,6
2016,The Jungle Book,/wiki/The_Jungle_Book_(2016_film),1
1984,The Killing Fields,/wiki/The_Killing_Fields_(film),7
1956,The King and I,/wiki/The_King_and_I_(1956_film),9
2010,The King's Speech,/wiki/The_King%27s_Speech,12
2013,The Lady in Number 6,/wiki/The_Lady_in_Number_6,1
1927  /  28,The Last Command,/wiki/The_Last_Command_(1928_film),2
1998,The Last Days,/wiki/The_Last_Days,1
1987,The Last Emperor,/wiki/The_Last_Emperor,9
2006,The Last King of Scotland,/wiki/The_Last_King_of_Scotland_(film),1
1971,The Last Picture Show,/wiki/The_Last_Picture_Show,8
1992,The Last of the Mohicans,/wiki/The_Last_of_the_Mohicans_(1992_film),1
1952,The Lavender Hill Mob,/wiki/The_Lavender_Hill_Mob,2
1937,The Life of Emile Zola,/wiki/The_Life_of_Emile_Zola,10
1994,The Lion King,/wiki/The_Lion_King,4
1968,The Lion in Winter,/wiki/The_Lion_in_Winter_(1968_film),7
1954,The Little Kidnappers,/wiki/The_Kidnappers,0
1989,The Little Mermaid,/wiki/The_Little_Mermaid_(1989_film),3
1948,The Little Orphan,/wiki/The_Little_Orphan,1
2006,The Lives of Others,/wiki/The_Lives_of_Others,1
1935,The Lives of a Bengal Lancer,/wiki/The_Lives_of_a_Bengal_Lancer_(film),7
1953,The Living Desert,/wiki/The_Living_Desert,1
1997,The Long Way Home,/wiki/The_Long_Way_Home_(1997_film),1
1962,The Longest Day,/wiki/The_Longest_Day_(film),5
2001,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,13
2003,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,11
2002,The Lord of the Rings: The Two Towers,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,6
2010,The Lost Thing,/wiki/The_Lost_Thing,1
1945,The Lost Weekend,/wiki/The_Lost_Weekend_(film),7
1990,The Lunch Date,/wiki/The_Lunch_Date,1
1994,The Madness of King George,/wiki/The_Madness_of_King_George,4
1969,The Magic Machines,/wiki/The_Magic_Machines,2
1956,The Man Who Knew Too Much,/wiki/The_Man_Who_Knew_Too_Much_(1956_film),1
1987,The Man Who Planted Trees,/wiki/The_Man_Who_Planted_Trees_(film),1
1975,The Man Who Skied Down Everest,/wiki/The_Man_Who_Skied_Down_Everest,1
1999,The Matrix,/wiki/The_Matrix,4
1934,The Merry Widow,/wiki/The_Merry_Widow_(1934_film),1
1988,The Milagro Beanfield War,/wiki/The_Milagro_Beanfield_War,1
1940,The Milky Way,/wiki/The_Milky_Way_(1940_film),1
1962,The Miracle Worker,/wiki/The_Miracle_Worker_(1962_film),5
1986,The Mission,/wiki/The_Mission_(1986_film),7
2005,The Moon and the Son: An Imagined Conversation,/wiki/The_Moon_and_the_Son:_An_Imagined_Conversation,1
1943,The More the Merrier,/wiki/The_More_the_Merrier,6
2004,The Motorcycle Diaries,/wiki/The_Motorcycle_Diaries_(film),2
2011,The Muppets,/wiki/The_Muppets_(film),1
1931  /  32,The Music Box,/wiki/The_Music_Box,1
1962,The Music Man,/wiki/The_Music_Man_(1962_film),6
1948,The Naked City,/wiki/The_Naked_City,3
2019,The Neighbors' Window,/wiki/The_Neighbors%27_Window,1
2009,The New Tenants,/wiki/The_New_Tenants,1
1964,The Night of the Iguana,/wiki/The_Night_of_the_Iguana_(film),4
1996,The Nutty Professor,/wiki/The_Nutty_Professor_(1996_film),1
1985,The Official Story,/wiki/The_Official_Story,2
1999,The Old Man and the Sea,/wiki/The_Old_Man_and_the_Sea_(1999_film),3
1937,The Old Mill,/wiki/The_Old_Mill,1
1976,The Omen,/wiki/The_Omen,2
1948,The Paleface,/wiki/The_Paleface_(1948_film),1
1992,The Panama Deception,/wiki/The_Panama_Deception,1
1973,The Paper Chase,/wiki/The_Paper_Chase_(film),3
1928  /  29,The Patriot,/wiki/The_Patriot_(1928_film),5
1998,The Personals,/wiki/The_Personals:_Improvisations_on_Romance_in_the_Golden_Years,1
1940,The Philadelphia Story,/wiki/The_Philadelphia_Story_(film),6
2014,The Phone Call,/wiki/The_Phone_Call_(2013_film),1
2002,The Pianist,/wiki/The_Pianist_(2002_film),7
1993,The Piano,/wiki/The_Piano,8
1945,The Picture of Dorian Gray,/wiki/The_Picture_of_Dorian_Gray_(1945_film),3
1964,The Pink Phink,/wiki/The_Pink_Phink,1
1972,The Poseidon Adventure,/wiki/The_Poseidon_Adventure_(1972_film),8
1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,11
1969,The Prime of Miss Jean Brodie,/wiki/The_Prime_of_Miss_Jean_Brodie_(film),2
1998,The Prince of Egypt,/wiki/The_Prince_of_Egypt,2
1932  /  33,The Private Life of Henry VIII,/wiki/The_Private_Life_of_Henry_VIII,2
1937,The Private Life of the Gannets,/wiki/The_Private_Life_of_the_Gannets,1
1967,The Producers,/wiki/The_Producers_(1967_film),2
1936,The Public Pays,/wiki/The_Public_Pays,1
2006,The Queen,/wiki/The_Queen_(2006_film),6
2021,The Queen of Basketball,/wiki/The_Queen_of_Basketball,1
1952,The Quiet Man,/wiki/The_Quiet_Man,7
1939,The Rains Came,/wiki/The_Rains_Came,6
1946,The Razor's Edge,/wiki/The_Razor%27s_Edge_(1946_film),4
2008,The Reader,/wiki/The_Reader_(2008_film),5
1956,The Red Balloon,/wiki/The_Red_Balloon,1
1948,The Red Shoes,/wiki/The_Red_Shoes_(1948_film),5
1999,The Red Violin,/wiki/The_Red_Violin,1
1967,The Redwoods,/wiki/The_Redwoods,1
1970,The Resurrection of Broncho Billy,/wiki/The_Resurrection_of_Broncho_Billy,1
2015,The Revenant,/wiki/The_Revenant_(2015_film),12
1983,The Right Stuff,/wiki/The_Right_Stuff_(film),8
1984,The River,/wiki/The_River_(1984_film),4
1953,The Robe,/wiki/The_Robe_(film),5
1955,The Rose Tattoo,/wiki/The_Rose_Tattoo_(film),8
2016,The Salesman,/wiki/The_Salesman_(2016_film),1
1977,The Sand Castle,/wiki/The_Sand_Castle_(film),1
1965,The Sandpiper,/wiki/The_Sandpiper,1
1935,The Scoundrel,/wiki/The_Scoundrel_(1935_film),1
1952,The Sea Around Us,/wiki/The_Sea_Around_Us_(film),1
2004,The Sea Inside,/wiki/The_Sea_Inside,2
1948,The Search,/wiki/The_Search,4
1948,The Secret Land,/wiki/The_Secret_Land,1
2009,The Secret in Their Eyes,/wiki/The_Secret_in_Their_Eyes,1
1946,The Seventh Veil,/wiki/The_Seventh_Veil,1
2017,The Shape of Water,/wiki/The_Shape_of_Water,13
1965,The Shop on Main Street,/wiki/The_Shop_on_Main_Street,2
2011,The Shore,/wiki/The_Shore_(2011_film),1
1991,The Silence of the Lambs,/wiki/The_Silence_of_the_Lambs_(film),7
2017,The Silent Child,/wiki/The_Silent_Child,1
1956,The Silent World,/wiki/The_Silent_World,1
1931  /  32,The Sin of Madelon Claudet,/wiki/The_Sin_of_Madelon_Claudet,1
1948,The Snake Pit,/wiki/The_Snake_Pit,6
2010,The Social Network,/wiki/The_Social_Network,8
1956,The Solid Gold Cadillac,/wiki/The_Solid_Gold_Cadillac,2
1943,The Song of Bernadette,/wiki/The_Song_of_Bernadette_(film),12
1965,The Sound of Music,/wiki/The_Sound_of_Music_(film),10
1973,The Sting,/wiki/The_Sting,10
1984,The Stone Carvers,/wiki/The_Stone_Carvers_(film),1
1936,The Story of Louis Pasteur,/wiki/The_Story_of_Louis_Pasteur,4
1949,The Stratton Story,/wiki/The_Stratton_Story,1
1968,The Subject Was Roses,/wiki/The_Subject_Was_Roses_(film),2
1961,The Substitute,/wiki/Surogat,1
1975,The Sunshine Boys,/wiki/The_Sunshine_Boys_(1975_film),4
1956,The Ten Commandments,/wiki/The_Ten_Commandments_(1956_film),7
1987,The Ten-Year Lunch,/wiki/The_Ten-Year_Lunch,1
2014,The Theory of Everything,/wiki/The_Theory_of_Everything_(2014_film),5
1940,The Thief of Bagdad,/wiki/The_Thief_of_Bagdad_(1940_film),4
1950,The Third Man,/wiki/The_Third_Man,3
1968,The Thomas Crown Affair,/wiki/The_Thomas_Crown_Affair_(1968_film),2
1957,The Three Faces of Eve,/wiki/The_Three_Faces_of_Eve,1
1960,The Time Machine,/wiki/The_Time_Machine_(1960_film),1
1984,The Times of Harvey Milk,/wiki/The_Times_of_Harvey_Milk,1
1979,The Tin Drum,/wiki/The_Tin_Drum_(film),1
1950,The Titan: Story of Michelangelo,/wiki/The_Titan:_Story_of_Michelangelo,1
1934,The Tortoise and the Hare,/wiki/The_Tortoise_and_the_Hare_(film),1
1974,The Towering Inferno,/wiki/The_Towering_Inferno,8
1948,The Treasure of the Sierra Madre,/wiki/The_Treasure_of_the_Sierra_Madre_(film),4
1985,The Trip to Bountiful,/wiki/The_Trip_to_Bountiful,2
1945,The True Glory,/wiki/The_True_Glory,1
1956,The True Story of the Civil War,/wiki/The_True_Story_of_the_Civil_War,1
1951,The Two Mouseketeers,/wiki/The_Two_Mouseketeers,1
1939,The Ugly Duckling,/wiki/The_Ugly_Duckling_(1939_film),1
1987,The Untouchables,/wiki/The_Untouchables_(film),4
1995,The Usual Suspects,/wiki/The_Usual_Suspects,2
1963,The V.I.P.s,/wiki/The_V.I.P.s_(film),1
1954,The Vanishing Prairie,/wiki/The_Vanishing_Prairie,1
1960,The Virgin Spring,/wiki/The_Virgin_Spring,2
1950,The Walls of Malapaga,/wiki/The_Walls_of_Malapaga,0
1966,The War Game,/wiki/The_War_Game,1
1953,The War of the Worlds,/wiki/The_War_of_the_Worlds_(1953_film),3
1973,The Way We Were,/wiki/The_Way_We_Were,6
1927  /  28,The Way of All Flesh,/wiki/The_Way_of_All_Flesh_(1927_film),1
1940,The Westerner,/wiki/The_Westerner_(1940_film),3
1957,The Wetback Hound,/wiki/The_Wetback_Hound,1
2022,The Whale,/wiki/The_Whale_(2022_film),3
2016,The White Helmets,/wiki/The_White_Helmets_(film),1
2021,The Windshield Wiper,/wiki/The_Windshield_Wiper,1
1939,The Wizard of Oz,/wiki/The_Wizard_of_Oz_(1939_film),6
2010,The Wolfman,/wiki/The_Wolfman_(2010_film),1
1984,The Woman in Red,/wiki/The_Woman_in_Red_(1984_film),1
1962,The Wonderful World of the Brothers Grimm,/wiki/The_Wonderful_World_of_the_Brothers_Grimm,4
1993,The Wrong Trousers,/wiki/The_Wrong_Trousers,1
1943,The Yankee Doodle Mouse,/wiki/The_Yankee_Doodle_Mouse,1
1983,The Year of Living Dangerously,/wiki/The_Year_of_Living_Dangerously_(film),1
1946,The Yearling,/wiki/The_Yearling_(1946_film),7
2009,The Young Victoria,/wiki/The_Young_Victoria,3
1991,Thelma & Louise,/wiki/Thelma_%26_Louise,6
2007,There Will Be Blood,/wiki/There_Will_Be_Blood,8
1969,"They Shoot Horses, Don't They?","/wiki/They_Shoot_Horses,_Don%27t_They%3F_(film)",9
1944,Thirty Seconds Over Tokyo,/wiki/Thirty_Seconds_Over_Tokyo,2
1942,This Above All,/wiki/This_Above_All_(film),4
2002,This Charming Man,/wiki/This_Charming_Man_(film),1
1943,This Is the Army,/wiki/This_Is_the_Army,3
1943,This Land Is Mine,/wiki/This_Land_Is_Mine_(film),1
1954,This Mechanical Age,/wiki/This_Mechanical_Age,1
1972,This Tiny World,/wiki/This_Tiny_World,1
1967,Thoroughly Modern Millie,/wiki/Thoroughly_Modern_Millie,7
2001,Thoth,/wiki/Thoth_(film),1
2017,"Three Billboards Outside Ebbing, Missouri","/wiki/Three_Billboards_Outside_Ebbing,_Missouri",7
1954,Three Coins in the Fountain,/wiki/Three_Coins_in_the_Fountain_(film),3
1932  /  33,Three Little Pigs,/wiki/Three_Little_Pigs_(film),1
1935,Three Orphan Kittens,/wiki/Three_Orphan_Kittens,1
1961,Through a Glass Darkly,/wiki/Through_a_Glass_Darkly_(film),2
1965,Thunderball,/wiki/Thunderball_(film),1
1954,Thursday's Children,/wiki/Thursday%27s_Children,1
1940,Tin Pan Alley,/wiki/Tin_Pan_Alley_(film),1
1988,Tin Toy,/wiki/Tin_Toy,1
1997,Titanic,/wiki/Titanic_(1997_film),2
1965,To Be Alive!,/wiki/To_Be_Alive!,1
1982,To Begin Again,/wiki/Begin_the_Beguine_(film),1
1955,To Catch a Thief,/wiki/To_Catch_a_Thief,3
1946,To Each His Own,/wiki/To_Each_His_Own_(1946_film),2
1962,To Kill a Mockingbird,/wiki/To_Kill_a_Mockingbird_(film),8
1963,Tom Jones,/wiki/Tom_Jones_(1963_film),10
1953,"Toot, Whistle, Plunk and Boom","/wiki/Toot,_Whistle,_Plunk_and_Boom",1
1982,Tootsie,/wiki/Tootsie,10
1986,Top Gun,/wiki/Top_Gun,4
2022,Top Gun: Maverick,/wiki/Top_Gun:_Maverick,6
1964,Topkapi,/wiki/Topkapi_(film),1
1999,Topsy-Turvy,/wiki/Topsy-Turvy,4
1970,Tora! Tora! Tora!,/wiki/Tora!_Tora!_Tora!,5
1937,Torture Money,/wiki/Torture_Money,1
1990,Total Recall,/wiki/Total_Recall_(1990_film),2
1948,Toward Independence,/wiki/Toward_Independence,1
1995,Toy Story,/wiki/Toy_Story,3
2010,Toy Story 3,/wiki/Toy_Story_3,5
2019,Toy Story 4,/wiki/Toy_Story_4,2
2008,Toyland,/wiki/Toyland_(film),1
2000,Traffic,/wiki/Traffic_(2000_film),5
2001,Training Day,/wiki/Training_Day,2
1931  /  32,Transatlantic,/wiki/Transatlantic_(1931_film),1
1972,Travels with My Aunt,/wiki/Travels_with_My_Aunt_(film),4
1994,Trevor,/wiki/Trevor_(film),1
1969,True Grit,/wiki/True_Grit_(1969_film),2
2005,Tsotsi,/wiki/Tsotsi,1
1947,Tweetie Pie,/wiki/Tweetie_Pie,1
1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,4
2002,Twin Towers,/wiki/Twin_Towers_(film),1
1927  /  28,Two Arabian Knights,/wiki/Two_Arabian_Knights,1
2020  /  21,Two Distant Strangers,/wiki/Two_Distant_Strangers,1
2003,Two Soldiers,/wiki/Two_Soldiers_(2003_film),1
1961,Two Women,/wiki/Two_Women,1
2000,U-571,/wiki/U-571_(film),2
2011,Undefeated,/wiki/Undefeated_(2011_film),1
1927  /  28,Underworld,/wiki/Underworld_(1927_film),1
1992,Unforgiven,/wiki/Unforgiven,9
2009,Up,/wiki/Up_(2009_film),5
1946,Vacation from Marriage,/wiki/Perfect_Strangers_(1945_film),1
1949,Van Gogh,/wiki/Van_Gogh_(1948_film),1
2018,Vice,/wiki/Vice_(2018_film),8
2008,Vicky Cristina Barcelona,/wiki/Vicky_Cristina_Barcelona,1
1982,Victor/Victoria,/wiki/Victor/Victoria,7
1981,Violet,/wiki/Violet_(1981_film),1
1997,Visas and Virtue,/wiki/Visas_and_Virtue,1
1934,Viva Villa!,/wiki/Viva_Villa!,4
1952,Viva Zapata!,/wiki/Viva_Zapata!,5
2008,WALL-E,/wiki/WALL-E,6
1937,Waikiki Wedding,/wiki/Waikiki_Wedding,2
2005,Walk the Line,/wiki/Walk_the_Line,5
1987,Wall Street,/wiki/Wall_Street_(1987_film),1
2005,Wallace & Gromit: The Curse of the Were-Rabbit,/wiki/Wallace_%26_Gromit:_The_Curse_of_the_Were-Rabbit,1
1968,War and Peace,/wiki/War_and_Peace_(film_series),2
2004,Wasp,/wiki/Wasp_(2003_film),1
1943,Watch on the Rhine,/wiki/Watch_on_the_Rhine,4
1952,Water Birds,/wiki/Water_Birds,1
2006,West Bank Story,/wiki/West_Bank_Story,1
2021,West Side Story,/wiki/West_Side_Story_(1961_film),7
1998,What Dreams May Come,/wiki/What_Dreams_May_Come_(film),2
1962,What Ever Happened to Baby Jane?,/wiki/What_Ever_Happened_to_Baby_Jane%3F_(1962_film),5
1954,When Magoo Flew,/wiki/When_Magoo_Flew,1
1939,When Tomorrow Comes,/wiki/When_Tomorrow_Comes_(film),1
1996,When We Were Kings,/wiki/When_We_Were_Kings,1
1951,When Worlds Collide,/wiki/When_Worlds_Collide_(1951_film),2
2014,Whiplash,/wiki/Whiplash_(2014_film),5
1985,White Nights,/wiki/White_Nights_(1985_film),2
1928  /  29,White Shadows in the South Seas,/wiki/White_Shadows_in_the_South_Seas,1
1958,White Wilderness,/wiki/White_Wilderness_(film),2
1977,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,/wiki/Who_Are_the_DeBolts%3F_And_Where_Did_They_Get_Nineteen_Kids%3F,1
1988,Who Framed Roger Rabbit,/wiki/Who_Framed_Roger_Rabbit,6
1966,Who's Afraid of Virginia Woolf?,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),13
1944,Who's Who in Animal Land,/wiki/Who%27s_Who_in_Animal_Land,1
1950,Why Korea?,/wiki/Why_Korea%3F,1
1968,Why Man Creates,/wiki/Why_Man_Creates,1
1966,Wild Wings,/wiki/Wild_Wings,1
1944,Wilson,/wiki/Wilson_(1944_film),10
1927  /  28,Wings,/wiki/Wings_(1927_film),2
1935,Wings Over Everest,/wiki/Wings_Over_Everest,1
1968,Winnie the Pooh and the Blustery Day,/wiki/Winnie_the_Pooh_and_the_Blustery_Day,1
1929  /  30,With Byrd at the South Pole,/wiki/With_Byrd_at_the_South_Pole,1
1952,With a Song in My Heart,/wiki/With_a_Song_in_My_Heart_(film),5
1944,With the Marines at Tarawa,/wiki/With_the_Marines_at_Tarawa,1
1985,Witness,/wiki/Witness_(1985_film),8
1985,Witness to War: Dr. Charlie Clements,/wiki/Witness_to_War:_Dr._Charlie_Clements,1
1942,Woman of the Year,/wiki/Woman_of_the_Year,2
2022,Women Talking,/wiki/Women_Talking_(film),2
1970,Women in Love,/wiki/Women_in_Love_(film),4
