,year,film,wiki,winner,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western,nominations,Oscar_win,nom_gg_drama,winner_gg_drama,nom_gg_comedy,winner_gg_comedy,nom_pga,winner_pga,nom_bafta,winner_bafta,nom_dga,winner_dga,nom_sag,winner_sag
58,1936,The Story of Louis Pasteur,/wiki/The_Story_of_Louis_Pasteur,False,7.3,2972.0,204956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1936,A Tale of Two Cities ,/wiki/A_Tale_of_Two_Cities_(1935_film),False,7.8,5988.0,1062878,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1937,The Life of Emile Zola,/wiki/The_Life_of_Emile_Zola,True,7.2,8596.0,99783556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,1937,Dead End ,/wiki/Dead_End_(1937_film),False,6.5,30273.0,154342,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1937,Lost Horizon ,/wiki/Lost_Horizon_(1937_film),False,7.6,13800.0,10726909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1937,One Hundred Men and a Girl,/wiki/One_Hundred_Men_and_a_Girl,False,6.7,1143.0,167780960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1937,Stage Door,/wiki/Stage_Door,False,7.7,8676.0,8835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1937,A Star Is Born ,/wiki/A_Star_Is_Born_(1937_film),False,7.6,396752.0,436233122,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0,0,1,0,1,1,0,0,0,0,0,0,0,0
69,2018,A Star Is Born ,/wiki/A_Star_Is_Born_(2018_film),False,7.6,396752.0,436233122,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0,0,1,0,1,1,0,0,0,0,0,0,0,0
71,1938,The Adventures of Robin Hood,/wiki/The_Adventures_of_Robin_Hood,False,7.9,52654.0,288545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1938,The Citadel ,/wiki/The_Citadel_(1938_film),False,6.3,10217.0,1625784,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1938,Four Daughters,/wiki/Four_Daughters,False,6.9,2073.0,2778028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1938,La Grande Illusion,/wiki/La_Grande_Illusion,False,7.5,6.0,20356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),True,8.2,321925.0,402382193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",False,7.9,11095.0,106269971,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1939,Love Affair ,/wiki/Love_Affair_(1939_film),False,6.0,4917.0,18272894,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,False,8.1,117350.0,144738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1939,Ninotchka,/wiki/Ninotchka,False,7.8,21798.0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1939,Of Mice and Men ,/wiki/Of_Mice_and_Men_(1939_film),False,7.5,45096.0,5471088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),False,8.1,409552.0,25637669,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
