,year,film,wiki,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
40,1936,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1936_film),7.6,33417.0,"$6,292",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,1936,San Francisco ,/wiki/San_Francisco_(1936_film),7.3,6371.0,"$18,823",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,1936,The Story of Louis Pasteur,/wiki/The_Story_of_Louis_Pasteur,7.3,2972.0,"$204,956",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1936,A Tale of Two Cities ,/wiki/A_Tale_of_Two_Cities_(1935_film),7.8,5988.0,"$1,062,878",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
44,1937,The Life of Emile Zola,/wiki/The_Life_of_Emile_Zola,7.2,8596.0,"$99,783,556",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1937,Dead End ,/wiki/Dead_End_(1937_film),6.5,30273.0,"$154,342",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46,1937,Lost Horizon ,/wiki/Lost_Horizon_(1937_film),7.6,13800.0,"$10,726,909",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,1937,One Hundred Men and a Girl,/wiki/One_Hundred_Men_and_a_Girl,6.7,1143.0,"$167,780,960",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1937,Stage Door,/wiki/Stage_Door,7.7,8676.0,"$8,835",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,1937,A Star Is Born ,/wiki/A_Star_Is_Born_(1937_film),7.6,396752.0,"$436,233,122",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
50,1938,The Adventures of Robin Hood,/wiki/The_Adventures_of_Robin_Hood,7.9,52654.0,"$288,545",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1938,The Citadel ,/wiki/The_Citadel_(1938_film),6.3,10217.0,"$1,625,784",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,1938,Four Daughters,/wiki/Four_Daughters,6.9,2073.0,"$2,778,028",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1938,La Grande Illusion,/wiki/La_Grande_Illusion,7.5,6.0,"$20,356",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),8.2,321925.0,"$402,382,193",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
55,1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",7.9,11095.0,"$106,269,971",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,1939,Love Affair ,/wiki/Love_Affair_(1939_film),6.0,4917.0,"$18,272,894",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,8.1,117350.0,"$144,738",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,1939,Ninotchka,/wiki/Ninotchka,7.8,21798.0,"$1,204",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
