,film,genres
349,Dead Poets Society,"Comedy,Drama"
350,Born on the Fourth of July ,"biography,drama,war"
351,Field of Dreams,"Adventure,Documentary,Family"
352,Driving Miss Daisy,"Comedy,Drama,Romance"
353,Ghost ,"drama,fantasy,romance,thriller"
354,Dances with Wolves,"Adventure,Drama,Western"
355,The Godfather Part III,"Crime,Drama"
356,Awakenings,"Action,Drama,Sci-Fi"
357,Goodfellas,"Biography,Crime,Drama"
358,The Prince of Tides,"Drama,Romance"
359,Bugsy,"Biography,Crime,Drama"
360,Beauty and the Beast ,"adventure,family,fantasy,musical,romance"
361,The Silence of the Lambs ,"crime,drama,thriller"
362,JFK ,"drama,history,thriller"
363,The Crying Game,"Comedy,Drama,Romance"
364,Howards End ,"drama,romance"
365,Unforgiven,"Crime,Drama,Short"
366,A Few Good Men,"News,Talk-Show,War"
367,Scent of a Woman ,drama
368,Schindler's List,"Biography,Drama,History"
369,The Fugitive ,"action,crime,drama,mystery,thriller"
370,In the Name of the Father ,"biography,crime,drama"
371,The Remains of the Day ,"drama,romance"
372,The Piano,"Drama,Musical,Short"
373,Forrest Gump,"Documentary,Family,History"
374,Quiz Show ,"biography,drama,history"
375,The Shawshank Redemption,"Comedy,Talk-Show"
376,Pulp Fiction,"Comedy,Reality-TV,Talk-Show"
377,Four Weddings and a Funeral,"Comedy,Drama,Romance"
378,Babe ,"comedy,drama,family"
379,Il Postino: The Postman,"biography,comedy,drama,romance"
380,Apollo 13 ,"adventure,drama,history"
381,Braveheart,"Comedy,Documentary,History"
382,Sense and Sensibility ,"drama,romance"
383,Shine ,"biography,drama,music,romance"
384,The English Patient ,"drama,romance,war"
385,Secrets & Lies ,"comedy,drama"
386,Fargo ,"crime,thriller"
387,Jerry Maguire,"Comedy,Drama,Romance"
388,Titanic ,"drama,romance"
389,L.A. Confidential ,"crime,drama,mystery,thriller"
390,The Full Monty,"Comedy,Drama"
391,Good Will Hunting,"Action,Adventure,Comedy"
392,As Good as It Gets,"Comedy,Drama,Romance"
393,Elizabeth ,"biography,drama,history"
394,The Thin Red Line ,"drama,history,war"
395,Shakespeare in Love,"Comedy,Drama,History"
396,Life Is Beautiful,"Drama,Romance,Short"
397,Saving Private Ryan,"Comedy,Documentary,History"
398,The Cider House Rules ,"drama,romance"
399,The Insider ,"biography,drama,thriller"
400,American Beauty ,drama
401,The Green Mile ,"crime,drama,fantasy,mystery"
402,The Sixth Sense,"Drama,Mystery,Thriller"
403,Chocolat ,"drama,romance"
404,Erin Brockovich ,"biography,drama"
405,Traffic ,"crime,drama,thriller"
406,Gladiator ,"action,adventure,drama"
407,"Crouching Tiger, Hidden Dragon","Action,Adventure,Drama"
408,Moulin Rouge!,"Drama,Musical,Romance"
409,The Lord of the Rings: The Fellowship of the Ring,"Action,Adventure,Fantasy"
410,In the Bedroom,"Comedy,Drama,Short"
411,A Beautiful Mind ,"biography,drama"
412,Gosford Park,"Comedy,Drama,Mystery"
413,Chicago ,"comedy,crime,musical"
414,Gangs of New York,"Documentary,History"
415,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama"
416,The Pianist ,"biography,drama,music,war"
417,The Hours ,"drama,romance"
418,The Lord of the Rings: The Return of the King,"Action,Adventure,Drama"
419,Seabiscuit ,"drama,history,sport"
420,Lost in Translation ,"comedy,drama"
421,Mystic River ,"crime,drama,mystery,thriller"
422,Master and Commander: The Far Side of the World,"Action,Adventure,Drama"
423,Million Dollar Baby,"Comedy,Drama,Music"
424,Sideways,"Crime,Drama,Mystery"
425,The Aviator ,"biography,drama"
426,Finding Neverland ,"biography,drama,family"
427,Ray ,"biography,drama,music"
428,"Good Night, and Good Luck",Drama
429,Capote ,"biography,crime,drama,history"
430,Munich ,"action,drama,history,thriller"
431,Brokeback Mountain,"Animation,Comedy,Short"
432,Crash ,drama
433,Little Miss Sunshine,"Animation,Family,Short"
434,Letters from Iwo Jima,"Action,Adventure,Drama"
435,Babel ,drama
436,The Queen ,"biography,drama"
437,The Departed,"Crime,Drama,Thriller"
438,No Country for Old Men,"Animation,Comedy,Short"
439,There Will Be Blood,"Action,Adventure,Drama"
440,Atonement ,"drama,mystery,romance,war"
441,Juno ,"comedy,drama"
442,Michael Clayton ,"crime,drama,mystery,thriller"
443,The Curious Case of Benjamin Button ,"drama,fantasy,romance"
444,Frost/Nixon ,"biography,drama,history"
445,Milk ,"biography,drama,history"
446,The Reader ,"drama,romance"
447,Slumdog Millionaire,"Crime,Drama,Romance"
448,Up in the Air ,"comedy,drama,romance"
449,Avatar ,"action,adventure,fantasy,sci-fi"
450,The Hurt Locker,"Drama,Thriller,War"
451,The Blind Side ,"biography,drama,sport"
452,District 9,"Action,Sci-Fi,Thriller"
453,An Education,"Comedy,Drama,Romance"
454,Inglourious Basterds,"Adventure,Drama,War"
455,Up ,"adventure,animation,comedy,drama,family"
456,A Serious Man,"Comedy,Drama"
457,Precious ,drama
458,127 Hours,"Documentary,News"
459,Winter's Bone,"Drama,Mystery"
460,Black Swan ,"drama,thriller"
461,Toy Story 3,"Comedy,Family,Short"
462,Inception,"Comedy,Reality-TV,Talk-Show"
463,The Social Network,"Comedy,Drama,Game-Show"
464,The King's Speech,"Biography,Drama,History"
465,The Fighter,"Action,Adventure,Fantasy"
466,The Kids Are All Right ,"comedy,drama,romance"
467,True Grit ,"drama,western"
468,The Descendants,"Biography,Documentary,History"
469,War Horse ,"action,adventure,drama,history,war"
470,The Tree of Life ,"drama,fantasy"
471,Extremely Loud & Incredibly Close ,"adventure,drama,mystery"
472,Moneyball ,"biography,drama,sport"
473,Hugo ,"adventure,drama,family,fantasy,mystery"
474,The Help ,drama
475,The Artist ,"comedy,drama,romance"
476,Midnight in Paris,"Comedy,Documentary,Drama"
477,Zero Dark Thirty,"Comedy,Documentary,Mystery"
478,Silver Linings Playbook,"Comedy,Drama,Romance"
479,Beasts of the Southern Wild,"Adventure,Drama,Fantasy"
480,Life of Pi ,"adventure,drama,fantasy"
481,Les Misérables ,"crime,drama,thriller"
482,Django Unchained,"Drama,Western"
483,Argo ,"biography,drama,thriller"
484,Amour ,drama
485,Lincoln ,"biography,drama,history,war"
486,Dallas Buyers Club,"Comedy,Talk-Show"
487,12 Years a Slave ,"biography,drama,history"
488,American Hustle,"Reality-TV,Talk-Show"
489,Philomena ,"biography,comedy,drama"
490,Nebraska ,drama
491,Her ,"drama,romance,sci-fi"
492,Gravity ,"drama,sci-fi,thriller"
493,Captain Phillips ,"action,biography,crime,drama,thriller"
494,The Wolf of Wall Street ,"biography,comedy,crime,drama"
495,Birdman ,"comedy,drama"
496,Selma ,"biography,drama,history"
497,The Theory of Everything ,"biography,drama,romance"
498,Whiplash ,"drama,music"
499,Boyhood ,drama
500,The Imitation Game,"Comedy,Drama,Game-Show"
501,The Grand Budapest Hotel,"Adventure,Comedy,Crime"
502,American Sniper,"Action,Biography,Drama"
503,The Revenant ,"action,adventure,drama,western"
504,Room ,"drama,thriller"
505,The Martian ,"adventure,drama,sci-fi"
506,Brooklyn ,"drama,romance"
507,Bridge of Spies ,"drama,history,thriller,war"
508,The Big Short ,"biography,comedy,drama,history"
509,Mad Max: Fury Road,"Action,Adventure,Sci-Fi"
510,Spotlight ,"biography,crime,drama"
511,Moonlight ,drama
512,Arrival ,"drama,mystery,sci-fi"
513,Fences ,drama
514,La La Land,"Comedy,Drama,Romance"
515,Hell or High Water ,"crime,drama,thriller,western"
516,Lion ,"biography,drama"
517,Hidden Figures,"Comedy,Drama,Game-Show"
518,Hacksaw Ridge,"Biography,Drama,History"
519,Manchester by the Sea ,drama
520,Phantom Thread,"Comedy,News"
521,Get Out,"Animation,Comedy,Crime"
522,Call Me by Your Name ,"drama,romance"
523,"Three Billboards Outside Ebbing, Missouri","Comedy,Crime,Drama"
524,Darkest Hour ,"biography,drama,war"
525,Dunkirk ,"action,drama,history,thriller,war"
526,Lady Bird ,"comedy,drama"
527,The Shape of Water,"Comedy,Drama,Sci-Fi"
528,The Post ,"biography,drama,history,thriller,war"
529,Green Book ,"biography,comedy,drama,music"
530,Black Panther ,"action,adventure,sci-fi"
531,A Star Is Born ,"drama,music,romance"
532,Vice ,"biography,comedy,drama"
533,Roma ,drama
534,Bohemian Rhapsody ,"biography,drama,music"
535,The Favourite,"Drama,Family,Romance"
536,BlacKkKlansman,"Biography,Comedy,Crime"
537,Little Women ,"drama,romance"
538,Joker ,"crime,drama,thriller"
539,Parasite ,"horror,mystery,sci-fi"
540,Once Upon a Time in Hollywood,"Comedy,Talk-Show"
541,Jojo Rabbit,"Comedy,Drama,War"
542,Marriage Story,"Comedy,Documentary,News"
543,Ford v Ferrari,"Action,Biography,Drama"
544,1917 ,"action,drama,war"
545,The Irishman,"Biography,Crime,Drama"
546,Minari ,drama
547,Mank,"Biography,Comedy,Drama"
548,Judas and the Black Messiah,"Biography,Drama,History"
549,Promising Young Woman,"Crime,Drama,Mystery"
550,The Trial of the Chicago 7,"Drama,History,Thriller"
551,The Father ,"drama,mystery"
552,Sound of Metal,"Drama,Music"
553,Nomadland ,drama
554,Dune ,"action,adventure,drama,sci-fi"
555,Licorice Pizza,"Comedy,Drama,Romance"
556,West Side Story ,"crime,drama,musical,romance"
557,The Power of the Dog ,"drama,romance,western"
558,Nightmare Alley ,"crime,drama,thriller"
559,King Richard ,"biography,drama,sport"
560,CODA ,"comedy,drama,music"
561,Don't Look Up,"Comedy,Drama,Sci-Fi"
562,Drive My Car ,drama
563,Belfast ,"biography,drama"
564,All Quiet on the Western Front ,"drama,war"
565,Elvis ,"biography,drama,music"
566,Everything Everywhere All at Once,"Action,Adventure,Comedy"
567,Tár,"Drama,Music"
568,Top Gun: Maverick,"Comedy,Talk-Show"
569,The Fabelmans,"Comedy,Talk-Show"
570,The Banshees of Inisherin,"Comedy,Drama"
571,Triangle of Sadness,"Comedy,Drama"
572,Avatar: The Way of Water,"Action,Adventure,Fantasy"
573,Women Talking ,drama
