,year,film,wiki,winner,worldwide_box_office
155,1952,The Greatest Show on Earth ,/wiki/The_Greatest_Show_on_Earth_(film),True,"$36,000,000"
156,1952,High Noon,/wiki/High_Noon,False,N/A
157,1953,From Here to Eternity,/wiki/From_Here_to_Eternity,True,"$36,416"
158,1953,Julius Caesar ,/wiki/Julius_Caesar_(1953_film),False,"$10,831"
159,1953,The Robe ,/wiki/The_Robe_(film),False,"$36,010,866"
160,1953,Roman Holiday,/wiki/Roman_Holiday,False,"$6,607"
161,1953,Shane ,/wiki/Shane_(film),False,"$146,987"
162,1954,Three Coins in the Fountain ,/wiki/Three_Coins_in_the_Fountain_(film),False,"$46,808"
163,1954,Seven Brides for Seven Brothers,/wiki/Seven_Brides_for_Seven_Brothers,False,"$13,672"
164,1954,On the Waterfront,/wiki/On_the_Waterfront,True,N/A
165,1954,The Caine Mutiny ,/wiki/The_Caine_Mutiny_(film),False,"$21,750,000"
166,1954,The Country Girl ,/wiki/The_Country_Girl_(1954_film),False,"$98,005,666"
167,1955,Marty ,/wiki/Marty_(film),True,N/A
168,1955,Love Is a Many-Splendored Thing ,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,"$30,330"
169,1955,Mister Roberts ,/wiki/Mister_Roberts_(1955_film),False,N/A
170,1955,Picnic ,/wiki/Picnic_(1955_film),False,"$4,534"
171,1955,The Rose Tattoo ,/wiki/The_Rose_Tattoo_(film),False,"$29,174,648"
172,1956,The King and I ,/wiki/The_King_and_I_(1956_film),False,"$21,300,415"
173,1956,The Ten Commandments ,/wiki/The_Ten_Commandments_(1956_film),False,"$65,500,000"
174,1956,Giant ,/wiki/Giant_(1956_film),False,"$32,855,818"
175,1956,Around the World in 80 Days ,/wiki/Around_the_World_in_80_Days_(1956_film),True,"$72,178,895"
176,1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,True,"$27,200,000"
177,1957,12 Angry Men ,/wiki/12_Angry_Men_(1957_film),False,$955
178,1957,Sayonara,/wiki/Sayonara,False,"$50,888,729"
