,film,genres,rating,numVotes,year,wiki,winner,worldwide_box_office
131,The Philadelphia Story ,"comedy,romance",7.9,71352.0,1940,/wiki/The_Philadelphia_Story_(film),False,"$411,663"
132,How Green Was My Valley ,"drama,family",7.7,25272.0,1941,/wiki/How_Green_Was_My_Valley_(film),True,
133,Blossoms in the Dust,"Biography,Drama,Romance",6.9,2164.0,1941,/wiki/Blossoms_in_the_Dust,False,"$727,639"
134,Citizen Kane,"Comedy,Short",8.3,449408.0,1941,/wiki/Citizen_Kane,False,"$1,645,944"
135,Here Comes Mr. Jordan,"Comedy,Fantasy,Romance",7.6,6920.0,1941,/wiki/Here_Comes_Mr._Jordan,False,
136,Hold Back the Dawn,"Drama,Romance",7.3,2647.0,1941,/wiki/Hold_Back_the_Dawn,False,
137,The Little Foxes ,drama,7.9,12487.0,1941,/wiki/The_Little_Foxes_(film),False,"$4,583"
138,The Maltese Falcon ,"crime,film-noir,mystery,romance",8.0,162017.0,1941,/wiki/The_Maltese_Falcon_(1941_film),False,"$34,691"
139,Sergeant York ,"biography,drama,history,romance,war",7.7,19063.0,1941,/wiki/Sergeant_York_(film),False,"$16,364,924"
140,Suspicion ,"crime,drama,mystery,thriller",5.7,7271.0,1941,/wiki/Suspicion_(1941_film),False,"$269,915"
141,49th Parallel ,"drama,thriller,war",7.3,7142.0,1942,/wiki/49th_Parallel_(film),False,
142,Kings Row,Drama,7.5,4692.0,1942,/wiki/Kings_Row,False,"$49,591"
143,The Magnificent Ambersons ,"action,adventure,drama,western",7.6,25655.0,1942,/wiki/The_Magnificent_Ambersons_(film),False,"$162,360,636"
144,The Pied Piper ,"horror,mystery,thriller",6.4,843.0,1942,/wiki/The_Pied_Piper_(1942_film),False,"$5,546,500"
145,The Pride of the Yankees,"Biography,Drama,Romance",7.6,11409.0,1942,/wiki/The_Pride_of_the_Yankees,False,
146,The Talk of the Town ,"comedy,drama,romance,thriller",7.5,8692.0,1942,/wiki/The_Talk_of_the_Town_(1942_film),False,
147,Casablanca ,"drama,romance,war",8.5,582415.0,1943,/wiki/Casablanca_(film),True,"$4,626,532"
148,For Whom the Bell Tolls ,"adventure,drama,history,romance,war",6.8,9779.0,1943,/wiki/For_Whom_the_Bell_Tolls_(film),False,
149,Heaven Can Wait ,"comedy,fantasy,romance,sport",6.9,22323.0,1943,/wiki/Heaven_Can_Wait_(1943_film),False,"$81,640,278"
150,Heaven Can Wait ,"comedy,fantasy,romance,sport",6.9,22323.0,1978,/wiki/Heaven_Can_Wait_(1978_film),False,"$81,640,278"
157,The Human Comedy ,"comedy,drama,family,romance,war",7.0,2298.0,1943,/wiki/The_Human_Comedy_(film),False,
158,Madame Curie ,"biography,drama,music,romance",7.2,3027.0,1943,/wiki/Madame_Curie_(film),False,"$3,515,958"
159,The More the Merrier,"Action,Adventure,Animation",7.6,7067.0,1943,/wiki/The_More_the_Merrier,False,"$247,061"
160,The Ox-Bow Incident,"Drama,Western",8.0,24061.0,1943,/wiki/The_Ox-Bow_Incident,False,"$98,201"
161,The Song of Bernadette ,"adventure,animation,drama,family,fantasy",7.6,7301.0,1943,/wiki/The_Song_of_Bernadette_(film),False,"$4,228,034"
162,Going My Way,"Comedy,Romance,Short",7.0,12561.0,1944,/wiki/Going_My_Way,True,"$2,221"
163,Double Indemnity,"Comedy,Fantasy,Sci-Fi",8.3,160383.0,1944,/wiki/Double_Indemnity,False,"$14,651"
164,Gaslight ,"comedy,drama,romance",7.4,23550.0,1944,/wiki/Gaslight_(1944_film),False,"$37,591,674"
165,Wilson ,"comedy,drama",5.8,10851.0,1944,/wiki/Wilson_(1944_film),False,"$848,646"
166,The Lost Weekend ,"drama,film-noir",7.9,38560.0,1945,/wiki/The_Lost_Weekend_(film),True,
167,Anchors Aweigh ,"comedy,fantasy,musical",7.0,9097.0,1945,/wiki/Anchors_Aweigh_(film),False,
168,The Bells of St. Mary's,"Action,Adventure,Crime",7.2,8704.0,1945,/wiki/The_Bells_of_St._Mary%27s,False,"$21,337,978"
169,Mildred Pierce ,"crime,drama,film-noir,mystery,romance",7.9,27228.0,1945,/wiki/Mildred_Pierce_(film),False,"$10,128"
170,The Best Years of Our Lives,"Drama,Romance,War",8.1,66826.0,1946,/wiki/The_Best_Years_of_Our_Lives,True,"$23,661,347"
171,Henry V ,"biography,drama,history,war",7.5,30647.0,1946,/wiki/Henry_V_(1944_film),False,"$10,161,099"
172,It's a Wonderful Life,"Action,Adventure,Animation",8.6,470690.0,1946,/wiki/It%27s_a_Wonderful_Life,False,"$8,574,081"
173,The Razor's Edge ,"drama,romance,war",6.4,5665.0,1946,/wiki/The_Razor%27s_Edge_(1946_film),False,"$6,551,987"
174,The Yearling ,"drama,family,western",7.2,6165.0,1946,/wiki/The_Yearling_(1946_film),False,
175,The Bishop's Wife,"Comedy,Drama,Fantasy",7.6,19305.0,1947,/wiki/The_Bishop%27s_Wife,False,$16
176,Crossfire ,"action,crime,drama",5.7,2340.0,1947,/wiki/Crossfire_(film),False,"$456,350"
177,Great Expectations ,"drama,romance",4.9,2169.0,1947,/wiki/Great_Expectations_(1946_film),False,"$55,494,066"
178,Miracle on 34th Street,"Comedy,Fantasy,Sci-Fi",7.9,51123.0,1947,/wiki/Miracle_on_34th_Street,False,$527
179,Hamlet ,drama,7.7,38945.0,1948,/wiki/Hamlet_(1948_film),True,"$6,288,230"
180,Johnny Belinda ,drama,7.7,5064.0,1948,/wiki/Johnny_Belinda_(1948_film),False,
181,The Red Shoes ,"drama,music,romance",8.1,36741.0,1948,/wiki/The_Red_Shoes_(1948_film),False,"$30,846"
182,The Snake Pit,"Adventure,Drama,Family",7.6,8019.0,1948,/wiki/The_Snake_Pit,False,$560
183,The Treasure of the Sierra Madre ,"adventure,drama,western",8.2,127703.0,1948,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,"$5,014,000"
184,All the King's Men ,"drama,thriller",6.1,25115.0,1949,/wiki/All_the_King%27s_Men_(1949_film),True,"$9,451,623"
185,Battleground ,documentary,7.4,7548.0,1949,/wiki/Battleground_(film),False,"$10,337"
186,The Heiress,"Adventure,Crime,Mystery",8.1,16404.0,1949,/wiki/The_Heiress,False,$158
187,A Letter to Three Wives,"Comedy,Drama,Romance",7.7,10176.0,1949,/wiki/A_Letter_to_Three_Wives,False,"$14,768"
188,Twelve O'Clock High,"Drama,War",7.7,15237.0,1949,/wiki/Twelve_O%27Clock_High,False,
189,All About Eve,"Drama,Family,Sci-Fi",8.2,133678.0,1950,/wiki/All_About_Eve,True,"$151,052"
190,Born Yesterday ,"comedy,romance",7.5,11779.0,1950,/wiki/Born_Yesterday_(1950_film),False,"$17,952,857"
191,Father of the Bride ,"comedy,family,romance",6.5,80195.0,1950,/wiki/Father_of_the_Bride_(1950_film),False,"$89,325,780"
192,King Solomon's Mines ,"action,adventure,comedy,romance",5.2,14154.0,1950,/wiki/King_Solomon%27s_Mines_(1950_film),False,"$15,057,465"
193,An American in Paris ,"drama,musical,romance",7.2,35210.0,1951,/wiki/An_American_in_Paris_(film),True,"$272,619"
194,Decision Before Dawn,"Drama,War",7.2,2824.0,1951,/wiki/Decision_Before_Dawn,False,"$608,881"
195,A Place in the Sun ,"drama,romance",7.7,23570.0,1951,/wiki/A_Place_in_the_Sun_(1951_film),False,
196,Quo Vadis ,"biography,drama,romance",7.1,15868.0,1951,/wiki/Quo_Vadis_(1951_film),False,"$101,486"
197,A Streetcar Named Desire ,drama,7.9,110938.0,1951,/wiki/A_Streetcar_Named_Desire_(1951_film),False,"$49,523"
198,High Noon,"Action,Crime,Drama",8.0,106601.0,1952,/wiki/High_Noon,False,
199,Ivanhoe ,"comedy,drama",6.7,5233.0,1952,/wiki/Ivanhoe_(1952_film),False,"$5,246"
200,Moulin Rouge ,"drama,musical,romance",7.6,290938.0,1952,/wiki/Moulin_Rouge_(1952_film),False,"$184,935,320"
201,The Quiet Man,"Action,Crime,Drama",7.7,40321.0,1952,/wiki/The_Quiet_Man,False,
202,From Here to Eternity,"Drama,Romance,War",7.6,48692.0,1953,/wiki/From_Here_to_Eternity,True,"$36,416"
203,Julius Caesar ,"drama,history",7.2,12139.0,1953,/wiki/Julius_Caesar_(1953_film),False,"$10,831"
204,The Robe ,"drama,history,romance",6.7,11057.0,1953,/wiki/The_Robe_(film),False,"$36,010,866"
205,Roman Holiday,"Comedy,Drama,Romance",8.0,142075.0,1953,/wiki/Roman_Holiday,False,"$6,607"
206,Shane ,"biography,documentary,music",7.6,42337.0,1953,/wiki/Shane_(film),False,"$146,987"
207,On the Waterfront,"Crime,Drama,Thriller",8.1,158120.0,1954,/wiki/On_the_Waterfront,True,
208,The Caine Mutiny ,"drama,war",7.7,28651.0,1954,/wiki/The_Caine_Mutiny_(film),False,"$21,750,000"
209,The Country Girl ,"comedy,drama,romance",7.2,6315.0,1954,/wiki/The_Country_Girl_(1954_film),False,"$98,005,666"
210,Seven Brides for Seven Brothers,"Comedy,Drama,Musical",7.3,25997.0,1954,/wiki/Seven_Brides_for_Seven_Brothers,False,"$13,672"
211,Three Coins in the Fountain ,"action,adventure,drama",6.2,3571.0,1954,/wiki/Three_Coins_in_the_Fountain_(film),False,"$46,808"
212,Marty ,"drama,romance",7.7,25482.0,1955,/wiki/Marty_(film),True,
213,Love Is a Many-Splendored Thing ,"biography,drama,romance,war",6.4,5166.0,1955,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,"$30,330"
214,Mister Roberts ,"comedy,drama,war",7.6,17541.0,1955,/wiki/Mister_Roberts_(1955_film),False,
215,Picnic ,"adventure,drama,thriller",7.0,9268.0,1955,/wiki/Picnic_(1955_film),False,"$4,534"
216,The Rose Tattoo ,"drama,music,romance",6.9,4275.0,1955,/wiki/The_Rose_Tattoo_(film),False,"$29,174,648"
217,Around the World in 80 Days ,"action,adventure,comedy,family,western",7.2,10809.0,1956,/wiki/Around_the_World_in_80_Days_(1956_film),True,"$72,178,895"
218,Giant ,"drama,western",7.6,40537.0,1956,/wiki/Giant_(1956_film),False,"$32,855,818"
219,The King and I ,"biography,drama,musical,romance",7.4,27069.0,1956,/wiki/The_King_and_I_(1956_film),False,"$21,300,415"
220,The Ten Commandments ,"adventure,drama,family,history",7.9,74236.0,1956,/wiki/The_Ten_Commandments_(1956_film),False,"$65,500,000"
221,The Bridge on the River Kwai,"Adventure,Drama,War",8.1,225058.0,1957,/wiki/The_Bridge_on_the_River_Kwai,True,"$27,200,000"
222,12 Angry Men ,"crime,drama",9.0,810542.0,1957,/wiki/12_Angry_Men_(1957_film),False,$955
223,Sayonara,"Comedy,Drama,Family",7.0,7148.0,1957,/wiki/Sayonara,False,"$50,888,729"
224,Witness for the Prosecution ,"crime,drama,mystery,thriller",8.4,129180.0,1957,/wiki/Witness_for_the_Prosecution_(1957_film),False,"$7,693"
225,Gigi ,"comedy,musical,romance",6.6,23682.0,1958,/wiki/Gigi_(1958_film),True,
226,Auntie Mame ,"comedy,drama,romance",7.9,11975.0,1958,/wiki/Auntie_Mame_(film),False,
227,Cat on a Hot Tin Roof ,drama,7.9,51321.0,1958,/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,
228,The Defiant Ones,"Action,Adventure,Comedy",7.6,16472.0,1958,/wiki/The_Defiant_Ones,False,"$358,399"
229,Separate Tables ,"drama,romance",7.4,8172.0,1958,/wiki/Separate_Tables_(film),False,
230,Ben-Hur ,"adventure,drama",8.1,244786.0,1959,/wiki/Ben-Hur_(1959_film),True,"$74,437,720"
231,Anatomy of a Murder,"Comedy,Crime,Drama",8.0,68204.0,1959,/wiki/Anatomy_of_a_Murder,False,$194
232,The Diary of Anne Frank ,drama,7.4,13207.0,1959,/wiki/The_Diary_of_Anne_Frank_(1959_film),False,"$3,068,263"
233,The Nun's Story ,"horror,mystery,thriller",7.5,11179.0,1959,/wiki/The_Nun%27s_Story_(film),False,"$365,582,797"
234,The Apartment,"Comedy,Documentary,Short",8.3,185980.0,1960,/wiki/The_Apartment,True,"$18,778,738"
235,The Alamo ,"adventure,drama,history,war,western",6.8,16655.0,1960,/wiki/The_Alamo_(1960_film),False,"$6,334"
236,Elmer Gantry ,drama,7.7,12179.0,1960,/wiki/Elmer_Gantry_(film),False,$64
237,Sons and Lovers ,"action,adventure,comedy,thriller",7.1,1682.0,1960,/wiki/Sons_and_Lovers_(film),False,"$414,351,546"
238,The Sundowners ,drama,7.1,4534.0,1960,/wiki/The_Sundowners_(1960_film),False,
239,West Side Story ,"crime,drama,musical,romance",7.2,88103.0,1961,/wiki/West_Side_Story_(1961_film),True,"$76,016,171"
240,West Side Story ,"crime,drama,musical,romance",7.2,88103.0,2021,/wiki/West_Side_Story_(2021_film),False,"$76,016,171"
247,Fanny ,drama,6.8,2476.0,1961,/wiki/Fanny_(1961_film),False,"$371,657"
248,The Guns of Navarone ,"action,adventure,drama,war",7.5,53091.0,1961,/wiki/The_Guns_of_Navarone_(film),False,
249,The Hustler,"Comedy,Drama,Family",8.0,83970.0,1961,/wiki/The_Hustler,False,
250,Judgment at Nuremberg,"Comedy,Crime,Drama",8.3,79629.0,1961,/wiki/Judgment_at_Nuremberg,False,"$12,180"
251,Lawrence of Arabia ,"adventure,biography,drama,war",8.3,300510.0,1962,/wiki/Lawrence_of_Arabia_(film),True,"$45,720,631"
252,The Longest Day ,"action,drama,history,war",7.7,57334.0,1962,/wiki/The_Longest_Day_(film),False,
253,The Music Man ,"comedy,family,musical,romance",7.7,18321.0,1962,/wiki/The_Music_Man_(1962_film),False,
254,To Kill a Mockingbird ,"crime,drama",8.3,321747.0,1962,/wiki/To_Kill_a_Mockingbird_(film),False,"$599,146"
255,America America,"Action,Crime,Drama",7.7,5743.0,1963,/wiki/America_America,False,"$370,569,774"
256,How the West Was Won ,western,7.0,22025.0,1963,/wiki/How_the_West_Was_Won_(film),False,"$76,729"
257,Lilies of the Field ,"comedy,drama",7.5,12527.0,1963,/wiki/Lilies_of_the_Field_(1963_film),False,"$2,476,539"
258,My Fair Lady ,"drama,family,musical,romance",7.8,98305.0,1964,/wiki/My_Fair_Lady_(film),True,"$72,632,653"
259,Becket ,"biography,drama,history",7.8,15266.0,1964,/wiki/Becket_(1964_film),False,"$149,327"
260,Dr. Strangelove,"Comedy,Crime,Drama",7.2,32.0,1964,/wiki/Dr._Strangelove,False,"$9,523,464"
261,Mary Poppins ,"comedy,family,fantasy,musical",7.8,178103.0,1964,/wiki/Mary_Poppins_(film),False,"$103,082,380"
262,Zorba the Greek ,"comedy,drama",7.6,23260.0,1964,/wiki/Zorba_the_Greek_(film),False,
263,The Sound of Music ,"biography,drama,family,musical,romance",8.1,244027.0,1965,/wiki/The_Sound_of_Music_(film),True,"$159,437,744"
264,Darling ,"drama,thriller",6.2,113753.0,1965,/wiki/Darling_(1965_film),False,"$87,609,403"
265,Doctor Zhivago ,"drama,romance,war",7.9,79217.0,1965,/wiki/Doctor_Zhivago_(film),False,"$111,922,142"
266,Ship of Fools ,comedy,7.0,6517.0,1965,/wiki/Ship_of_Fools_(film),False,"$2,198,044"
267,A Thousand Clowns,"Comedy,Drama,Romance",7.3,3568.0,1965,/wiki/A_Thousand_Clowns,False,"$3,427,211"
268,A Man for All Seasons ,"biography,drama,history",7.7,35822.0,1966,/wiki/A_Man_for_All_Seasons_(1966_film),True,
269,Alfie ,"comedy,drama,romance",6.2,53899.0,1966,/wiki/Alfie_(1966_film),False,"$35,060,882"
270,"The Russians Are Coming, the Russians Are Coming","comedy,crime",7.0,9316.0,1966,"/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,"$221,359"
271,The Sand Pebbles ,"adventure,drama,romance,war",7.5,15652.0,1966,/wiki/The_Sand_Pebbles_(film),False,
272,Who's Afraid of Virginia Woolf? ,drama,8.0,77348.0,1966,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,"$28,005,068"
273,In the Heat of the Night ,"drama,mystery,thriller",7.6,5649.0,1967,/wiki/In_the_Heat_of_the_Night_(film),True,"$27,669"
