,film,rating,numVotes
219,The Sundowners ,7.1,4534.0
220,Elmer Gantry ,7.7,12179.0
221,West Side Story ,7.2,88103.0
222,Fanny ,6.8,2476.0
223,The Hustler,8.0,83970.0
224,The Guns of Navarone ,7.5,53091.0
225,Judgment at Nuremberg,8.3,79629.0
226,To Kill a Mockingbird ,8.3,321747.0
227,The Longest Day ,7.7,57334.0
228,Lawrence of Arabia ,8.3,300510.0
229,Mutiny on the Bounty ,7.2,17072.0
230,The Music Man ,7.7,18321.0
231,Tom Jones ,4.8,412.0
232,How the West Was Won ,7.0,22025.0
233,Lilies of the Field ,7.5,12527.0
234,America America,7.7,5743.0
235,Mary Poppins ,7.8,178103.0
236,Dr. Strangelove,7.2,32.0
237,My Fair Lady ,7.8,98305.0
238,Zorba the Greek ,7.6,23260.0
239,Becket ,7.8,15266.0
240,A Thousand Clowns,7.3,3568.0
241,The Sound of Music ,8.1,244027.0
242,Darling ,6.2,113753.0
243,Doctor Zhivago ,7.9,79217.0
244,Ship of Fools ,7.0,6517.0
245,A Man for All Seasons ,7.7,35822.0
246,Alfie ,6.2,53899.0
247,"The Russians Are Coming, the Russians Are Coming",7.0,9316.0
248,The Sand Pebbles ,7.5,15652.0
249,Who's Afraid of Virginia Woolf? ,8.0,77348.0
250,Guess Who's Coming to Dinner,7.8,46782.0
251,In the Heat of the Night ,7.6,5649.0
252,Bonnie and Clyde ,7.7,116284.0
253,The Graduate,8.0,279183.0
254,Doctor Dolittle ,5.4,99350.0
255,Oliver! ,7.4,39921.0
256,Funny Girl ,7.3,23869.0
257,The Lion in Winter ,7.9,32541.0
258,Romeo and Juliet ,7.6,33417.0
259,"Rachel, Rachel",7.1,3678.0
260,"Hello, Dolly! ",7.0,16126.0
261,Midnight Cowboy,7.8,114634.0
262,Z ,8.2,29921.0
263,Butch Cassidy and the Sundance Kid,8.0,220258.0
264,Anne of the Thousand Days,7.4,7796.0
265,Five Easy Pieces,7.4,38546.0
266,Patton ,7.9,104860.0
267,Airport ,6.6,20129.0
268,Love Story ,6.9,35647.0
269,M*A*S*H ,8.4,59843.0
270,The Last Picture Show,8.0,49803.0
271,Nicholas and Alexandra,7.2,5252.0
272,The French Connection ,7.7,127344.0
273,A Clockwork Orange ,8.3,846321.0
274,Fiddler on the Roof ,8.0,45321.0
275,The Godfather,9.2,1901221.0
276,Cabaret ,7.8,57026.0
277,The Emigrants ,6.6,2037.0
278,Sounder ,7.5,4533.0
279,Deliverance,7.7,113602.0
280,The Sting,8.3,268838.0
281,The Exorcist,8.1,419343.0
282,Cries and Whispers,8.0,156.0
283,American Graffiti,7.4,92993.0
284,A Touch of Class ,6.5,3301.0
285,The Conversation,7.8,115409.0
286,The Godfather Part II,9.0,1296165.0
287,Chinatown ,8.2,334051.0
288,Lenny ,7.6,16725.0
289,The Towering Inferno,7.0,45752.0
290,Dog Day Afternoon,8.0,262946.0
291,One Flew Over the Cuckoo's Nest ,8.7,1026771.0
292,Nashville ,7.7,26514.0
293,Jaws ,8.1,622190.0
294,Barry Lyndon,8.1,173059.0
295,All the President's Men ,7.9,119851.0
296,Bound for Glory ,7.3,5384.0
297,Network ,8.1,163186.0
298,Rocky,8.1,595986.0
299,Taxi Driver,8.2,859335.0
300,Annie Hall,8.0,269843.0
301,The Goodbye Girl,7.4,15259.0
302,Julia ,8.3,9121.0
303,Star Wars ,7.0,21045.0
304,The Turning Point ,6.8,4878.0
305,Coming Home ,7.3,14023.0
306,Heaven Can Wait ,6.9,22323.0
307,The Deer Hunter,8.1,345782.0
308,An Unmarried Woman,7.1,5645.0
309,Midnight Express ,7.5,83992.0
310,Norma Rae,7.3,12155.0
311,All That Jazz ,7.8,33356.0
312,Breaking Away,7.7,24433.0
313,Kramer vs. Kramer,7.8,149059.0
314,Apocalypse Now,8.5,680101.0
315,Coal Miner's Daughter ,7.5,19545.0
316,The Elephant Man ,8.2,247328.0
317,Tess ,7.3,17441.0
318,Raging Bull,8.1,361798.0
319,Ordinary People,7.7,54202.0
320,Atlantic City ,7.3,17563.0
321,On Golden Pond ,7.6,32992.0
322,Reds ,7.3,23693.0
323,Chariots of Fire,7.1,63236.0
324,Raiders of the Lost Ark,8.4,983092.0
325,Tootsie,7.4,110342.0
326,Missing ,7.1,28473.0
327,The Verdict,7.7,42737.0
328,Gandhi ,8.0,236045.0
329,E.T. the Extra-Terrestrial,7.9,419529.0
330,Terms of Endearment,7.4,62572.0
331,Tender Mercies,7.3,11219.0
332,The Big Chill ,7.1,39246.0
333,The Dresser ,7.5,5467.0
334,The Right Stuff ,7.8,63106.0
335,Amadeus ,8.4,409043.0
336,The Killing Fields ,7.8,57137.0
337,A Passage to India ,7.3,19621.0
338,Places in the Heart,7.4,12659.0
339,A Soldier's Story,7.2,10773.0
340,Out of Africa ,7.1,82981.0
341,Kiss of the Spider Woman ,7.3,16686.0
342,Witness ,7.4,99282.0
343,Prizzi's Honor,6.7,25391.0
