year,film,wiki,genres
1943,For Whom the Bell Tolls ,/wiki/For_Whom_the_Bell_Tolls_(film),"adventure,drama,history,romance,war"
1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),"comedy,fantasy,romance,sport"
1943,The Human Comedy ,/wiki/The_Human_Comedy_(film),"comedy,drama,family,romance,war"
1943,In Which We Serve,/wiki/In_Which_We_Serve,"drama,war"
1943,Madame Curie ,/wiki/Madame_Curie_(film),"biography,drama,music,romance"
1943,The More the Merrier,/wiki/The_More_the_Merrier,"action,adventure,animation"
1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,"drama,western"
1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),"adventure,animation,drama,family,fantasy"
1943,Watch on the Rhine,/wiki/Watch_on_the_Rhine,"adventure,comedy,history"
1944,Going My Way,/wiki/Going_My_Way,"comedy,romance,short"
1944,Double Indemnity,/wiki/Double_Indemnity,"comedy,fantasy,sci-fi"
1944,Gaslight ,/wiki/Gaslight_(1944_film),"comedy,drama,romance"
1944,Since You Went Away,/wiki/Since_You_Went_Away,"comedy,drama,mystery"
1944,Wilson ,/wiki/Wilson_(1944_film),"comedy,drama"
1945,The Lost Weekend ,/wiki/The_Lost_Weekend_(film),"drama,film-noir"
1945,Anchors Aweigh ,/wiki/Anchors_Aweigh_(film),"comedy,fantasy,musical"
1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,"action,adventure,crime"
1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),"crime,drama,film-noir,mystery,romance"
1945,Spellbound ,/wiki/Spellbound_(1945_film),"comedy,fantasy,horror,romance"
1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,"drama,romance,war"
1946,Henry V ,/wiki/Henry_V_(1944_film),"biography,drama,history,war"
1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,"action,adventure,animation"
1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),"drama,romance,war"
1946,The Yearling ,/wiki/The_Yearling_(1946_film),"drama,family,western"
1947,Gentleman's Agreement,/wiki/Gentleman%27s_Agreement,"documentary,history"
1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,"comedy,drama,fantasy"
1947,Crossfire ,/wiki/Crossfire_(film),"action,crime,drama"
1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),"drama,romance"
1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,"comedy,fantasy,sci-fi"
1948,Hamlet ,/wiki/Hamlet_(1948_film),drama
1948,Johnny Belinda ,/wiki/Johnny_Belinda_(1948_film),drama
1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),"drama,music,romance"
1948,The Snake Pit,/wiki/The_Snake_Pit,"adventure,drama,family"
1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),"adventure,drama,western"
1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),"drama,thriller"
1949,Battleground ,/wiki/Battleground_(film),documentary
1949,The Heiress,/wiki/The_Heiress,"adventure,crime,mystery"
1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,"comedy,drama,romance"
1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,"drama,war"
1950,All About Eve,/wiki/All_About_Eve,"drama,family,sci-fi"
1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),"comedy,romance"
1950,Father of the Bride ,/wiki/Father_of_the_Bride_(1950_film),"comedy,family,romance"
1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),"action,adventure,comedy,romance"
1950,Sunset Boulevard ,/wiki/Sunset_Boulevard_(film),"drama,film-noir"
1951,An American in Paris ,/wiki/An_American_in_Paris_(film),"drama,musical,romance"
1951,Decision Before Dawn,/wiki/Decision_Before_Dawn,"drama,war"
1951,A Place in the Sun ,/wiki/A_Place_in_the_Sun_(1951_film),"drama,romance"
1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),"biography,drama,romance"
1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),drama
1952,The Greatest Show on Earth ,/wiki/The_Greatest_Show_on_Earth_(film),"drama,family,romance"
1952,High Noon,/wiki/High_Noon,"action,crime,drama"
1952,Ivanhoe ,/wiki/Ivanhoe_(1952_film),"comedy,drama"
1952,Moulin Rouge ,/wiki/Moulin_Rouge_(1952_film),"drama,musical,romance"
1952,The Quiet Man,/wiki/The_Quiet_Man,"action,crime,drama"
1953,From Here to Eternity,/wiki/From_Here_to_Eternity,"drama,romance,war"
1953,Julius Caesar ,/wiki/Julius_Caesar_(1953_film),"drama,history"
1953,The Robe ,/wiki/The_Robe_(film),"drama,history,romance"
1953,Roman Holiday,/wiki/Roman_Holiday,"comedy,drama,romance"
1953,Shane ,/wiki/Shane_(film),"biography,documentary,music"
1954,On the Waterfront,/wiki/On_the_Waterfront,"crime,drama,thriller"
1954,The Caine Mutiny ,/wiki/The_Caine_Mutiny_(film),"drama,war"
1954,The Country Girl ,/wiki/The_Country_Girl_(1954_film),"comedy,drama,romance"
1954,Seven Brides for Seven Brothers,/wiki/Seven_Brides_for_Seven_Brothers,"comedy,drama,musical"
1954,Three Coins in the Fountain ,/wiki/Three_Coins_in_the_Fountain_(film),"action,adventure,drama"
1955,Marty ,/wiki/Marty_(film),"drama,romance"
1955,Love Is a Many-Splendored Thing ,/wiki/Love_Is_a_Many-Splendored_Thing_(film),"biography,drama,romance,war"
1955,Mister Roberts ,/wiki/Mister_Roberts_(1955_film),"comedy,drama,war"
1955,Picnic ,/wiki/Picnic_(1955_film),"adventure,drama,thriller"
1955,The Rose Tattoo ,/wiki/The_Rose_Tattoo_(film),"drama,music,romance"
1956,Around the World in 80 Days ,/wiki/Around_the_World_in_80_Days_(1956_film),"action,adventure,comedy,family,western"
1956,Giant ,/wiki/Giant_(1956_film),"drama,western"
1956,The King and I ,/wiki/The_King_and_I_(1956_film),"biography,drama,musical,romance"
1956,The Ten Commandments ,/wiki/The_Ten_Commandments_(1956_film),"adventure,drama,family,history"
1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,"adventure,drama,war"
1957,12 Angry Men ,/wiki/12_Angry_Men_(1957_film),"crime,drama"
