,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
36,DeepLearning_grid_1_AutoML_1_20230518_152000_model_2,0.3808525506638714,1.042287443246532,0.1209040747247796,0.4902166317260656,0.4111172815777704,0.1690174192118957,8264,0.051352,DeepLearning
37,GBM_grid_1_AutoML_1_20230518_152000_model_2,0.3690892150011646,0.5958113609534669,0.1166414655245481,0.4968553459119497,0.4002586916589587,0.1602070202485414,91,0.05797,GBM
38,DeepLearning_grid_3_AutoML_1_20230518_152000_model_7,0.3650128115536921,0.998433326841948,0.1274003061459013,0.4968553459119497,0.4044799184004,0.1636040043891942,51643,0.124395,DeepLearning
39,DeepLearning_grid_2_AutoML_1_20230518_152000_model_17,0.3610528767761472,0.8217049446830523,0.1186459718545035,0.5,0.3780823721984149,0.1429462801671807,7965,0.061346,DeepLearning
40,GBM_3_AutoML_1_20230518_152000,0.3587235033775914,0.575933384216861,0.1180556949786952,0.5,0.3889426534725189,0.1512763876902439,110,0.055532,GBM
41,DeepLearning_grid_3_AutoML_1_20230518_152000_model_1,0.3524341952014908,1.5234023212052226,0.1167339373415431,0.5,0.4322471375453531,0.1868375879161514,62665,0.123833,DeepLearning
42,DeepLearning_grid_1_AutoML_1_20230518_152000_model_1,0.3470766363848124,0.7395358012323426,0.1104832209913235,0.4870719776380153,0.3885214288825318,0.1509489007009242,16206,0.054197,DeepLearning
43,GBM_grid_1_AutoML_1_20230518_152000_model_7,0.341835546238062,0.5297190096374887,0.1112026027853528,0.5,0.3859027041230737,0.1489208970495005,64,0.052192,GBM
44,GBM_grid_1_AutoML_1_20230518_152000_model_23,0.3383414861402283,0.5668291824043951,0.1105750780787548,0.5,0.3890584329704019,0.1513664642653847,95,0.062361,GBM
45,DeepLearning_grid_2_AutoML_1_20230518_152000_model_11,0.3335662706731889,1.239455597898547,0.1224322719278378,0.493361285814116,0.4017239708633232,0.1613821487661961,9694,0.062654,DeepLearning
46,DeepLearning_grid_3_AutoML_1_20230518_152000_model_16,0.3247146517586769,2.8260523212963986,0.1710952600883794,0.4329140461215933,0.4054368551393252,0.1643790435052661,30628,0.139369,DeepLearning
47,DeepLearning_grid_2_AutoML_1_20230518_152000_model_7,0.323549965059399,0.9262954952998638,0.1186115877941444,0.4968553459119497,0.4161899157508464,0.1732140459726966,16591,0.100266,DeepLearning
48,DeepLearning_grid_3_AutoML_1_20230518_152000_model_15,0.3226182156999767,0.9949008909873492,0.1071849974375348,0.4937106918238994,0.3990431759983434,0.1592354563108448,13394,0.088346,DeepLearning
49,GBM_grid_1_AutoML_1_20230518_152000_model_18,0.3216864663405543,0.5755820747902893,0.1108169471927739,0.490566037735849,0.3891095478826561,0.151406240253445,123,0.07225,GBM
50,DeepLearning_grid_2_AutoML_1_20230518_152000_model_13,0.3181924062427207,0.8544286350335523,0.1193312300171617,0.4654088050314465,0.3849113602058554,0.1481567552155217,12812,0.072808,DeepLearning
51,GBM_grid_1_AutoML_1_20230518_152000_model_35,0.3172606568832984,0.5668661973929625,0.1070632913316383,0.5,0.387136049142223,0.1498743205454497,111,0.063636,GBM
52,GBM_grid_1_AutoML_1_20230518_152000_model_12,0.3150477521546704,0.6608221687308501,0.101904959520384,0.5,0.4122649607249878,0.1699623978415757,83,0.063138,GBM
53,GBM_grid_1_AutoML_1_20230518_152000_model_10,0.3149312834847426,0.5337326345611886,0.1099085018435789,0.5,0.3785749614935157,0.1433190014698169,96,0.058557,GBM
54,GBM_grid_1_AutoML_1_20230518_152000_model_9,0.3099231306778476,0.5610281951688675,0.1042627665841882,0.5,0.3858274039413375,0.148862785632112,86,0.059427,GBM
55,DeepLearning_grid_3_AutoML_1_20230518_152000_model_13,0.3093407873282087,1.1217836214567798,0.1207758442237354,0.4968553459119497,0.39187171154506,0.1535634383092547,18302,0.081928,DeepLearning
56,DeepLearning_grid_1_AutoML_1_20230518_152000_model_6,0.3079431632890752,0.791920252796196,0.1097635942306958,0.4748427672955975,0.3905416731965127,0.1525227985031317,11862,0.067301,DeepLearning
57,DeepLearning_grid_3_AutoML_1_20230518_152000_model_3,0.3070114139296529,1.4761835077352228,0.129072087176687,0.4968553459119497,0.4117024023329638,0.1694988680867336,12014,0.058877,DeepLearning
58,GBM_2_AutoML_1_20230518_152000,0.29979035639413,0.5815369710342577,0.1057294791560053,0.4937106918238994,0.3903965615215941,0.1524094752478838,100,0.058934,GBM
59,GBM_4_AutoML_1_20230518_152000,0.2886093640810622,0.6003330407537028,0.1003692376553365,0.5,0.3921845616207387,0.153808730373651,132,0.05673,GBM
60,DeepLearning_grid_3_AutoML_1_20230518_152000_model_6,0.2872117400419287,1.102618605418588,0.1034295884087174,0.5,0.404243738944353,0.1634130004757102,44236,0.108366,DeepLearning
